feature,coefficient,abs_coefficient,base_feature,is_utility
lag_02__CT_place_BRIDGE,-0.002349244197830558,0.002349244197830558,CT_place_BRIDGE,False
lag_00__T_place_FOUNTAIN,-0.002092944225296378,0.002092944225296378,T_place_FOUNTAIN,False
lag_00__kill_diff_last_3s,0.001895295106805861,0.001895295106805861,kill_diff_last_3s,False
lag_04__CT2__flash_duration,0.0015669305576011539,0.0015669305576011539,CT2__flash_duration,True
lag_00__CT_kills_last_3s,0.001469466951675713,0.001469466951675713,CT_kills_last_3s,False
lag_03__T4__is_scoped,0.0013927584514021873,0.0013927584514021873,T4__is_scoped,False
lag_04__CT_place_WATER,0.0013723697047680616,0.0013723697047680616,CT_place_WATER,False
lag_00__CT4__is_scoped,-0.0012937558349221945,0.0012937558349221945,CT4__is_scoped,False
lag_00__damage_diff_last_5s,0.0012431256473064423,0.0012431256473064423,damage_diff_last_5s,False
lag_04__CT_place_SNIPERSNEST,-0.001194452284835279,0.001194452284835279,CT_place_SNIPERSNEST,False
lag_04__T_flashed_players,0.0011040649842470884,0.0011040649842470884,T_flashed_players,False
lag_00__CT_damage_last_5s,0.0010727009503170848,0.0010727009503170848,CT_damage_last_5s,False
lag_13__T4__is_scoped,-0.0010716307442635298,0.0010716307442635298,T4__is_scoped,False
lag_04__CT_place_BRIDGE,0.001038669259287417,0.001038669259287417,CT_place_BRIDGE,False
lag_12__CT_place_LOWERPARK,0.0010377239668741822,0.0010377239668741822,CT_place_LOWERPARK,False
lag_15__CT5__is_walking,-0.0010371615644544363,0.0010371615644544363,CT5__is_walking,False
lag_09__CT_place_CANAL,-0.0010271104983985424,0.0010271104983985424,CT_place_CANAL,False
lag_15__CT_place_LOWERPARK,0.0009921396849676967,0.0009921396849676967,CT_place_LOWERPARK,False
lag_00__T_shots_fired_sum,-0.0009877653792500496,0.0009877653792500496,T_shots_fired_sum,False
lag_11__CT_place_LOWERPARK,0.0009571893024258316,0.0009571893024258316,CT_place_LOWERPARK,False
lag_13__CT2__is_walking,-0.0009143963688984513,0.0009143963688984513,CT2__is_walking,False
lag_13__CT_place_BRIDGE,0.0009093429544009268,0.0009093429544009268,CT_place_BRIDGE,False
lag_05__T_place_TUNNELS,-0.0008994194213300943,0.0008994194213300943,T_place_TUNNELS,False
lag_10__CT_place_WALKWAY,0.0008983527077361941,0.0008983527077361941,CT_place_WALKWAY,False
lag_00__T_kills_last_3s,-0.0008821819792501628,0.0008821819792501628,T_kills_last_3s,False
lag_01__T5__shots_fired,0.0008646639762446284,0.0008646639762446284,T5__shots_fired,False
lag_00__CT_place_WATER,0.0008570950012654066,0.0008570950012654066,CT_place_WATER,False
lag_13__CT_place_LOWERPARK,0.00083764927694574,0.00083764927694574,CT_place_LOWERPARK,False
lag_10__CT_place_WATER,-0.0008342105429619551,0.0008342105429619551,CT_place_WATER,False
lag_01__T3__is_walking,-0.0008272016420960426,0.0008272016420960426,T3__is_walking,False
lag_14__CT_place_LOWERPARK,0.0008260812610387802,0.0008260812610387802,CT_place_LOWERPARK,False
lag_00__CT_scoped_count,-0.0008130653877742589,0.0008130653877742589,CT_scoped_count,False
lag_06__CT_flashed_players,0.0008002540562301874,0.0008002540562301874,CT_flashed_players,False
lag_09__CT_place_LOWERPARK,0.0007930604042485356,0.0007930604042485356,CT_place_LOWERPARK,False
lag_12__CT4__is_scoped,0.0007926662219688296,0.0007926662219688296,CT4__is_scoped,False
lag_06__T_shots_fired_sum,-0.0007774102268740535,0.0007774102268740535,T_shots_fired_sum,False
