feature,block,rows,non_null,zero,nonzero,nonzero_ratio,unique_count,unique_overflow,min,max,mean,std,constant,rare_nonzero,forbidden,leak_suspicious
CT1__is_walking,player_slot_numeric,3734887,3734887,2830520,904367,0.2421403913960449,2.0,False,0.0,1.0,0.2421403913960449,0.42837883030165613,False,False,False,False
CT1__shots_fired,combat,3734887,3734887,3287118,447769,0.1198882322276417,32.0,False,0.0,32.0,0.49679789509026645,1.8924800216451552,False,False,False,False
CT2__X,position,3734887,3734887,0,3734887,1.0,,True,-3959.9619140625,3497.96875,125.34808330445948,1248.1033076522826,False,False,False,False
CT2__Y,position,3734887,3734887,0,3734887,1.0,,True,-3338.18408203125,3593.97119140625,416.07011974456736,1368.325828638898,False,False,False,False
CT2__alive,state,3734887,3734887,814897,2919990,0.7818148179583478,2.0,False,0.0,1.0,0.7818148179583478,0.4130138113660405,False,False,False,False
CT2__armor,state,3734887,3734887,1051692,2683195,0.7184139707573483,90.0,False,0.0,100.0,69.58439144209717,44.117353428697854,False,False,False,False
CT2__duck_amount,player_slot_numeric,3734887,3734887,3266646,468241,0.12536952255851383,,True,0.0,1.0,0.08833648926775374,0.2624813490233731,False,False,False,False
CT2__has_defuser,objective,3734887,3734887,2598937,1135950,0.3041457479168714,2.0,False,0.0,1.0,0.3041457479168714,0.4600446847219934,False,False,False,False
CT2__has_helmet,utility,3734887,3734887,2059083,1675804,0.4486893445504509,2.0,False,0.0,1.0,0.4486893445504509,0.49736024834855636,False,False,False,False
CT2__hp,state,3734887,3734887,814897,2919990,0.7818148179583478,101.0,False,0.0,100.0,73.68744141389017,41.77888882896038,False,False,False,False
CT2__is_scoped,player_slot_numeric,3734887,3734887,3632368,102519,0.02744902322346031,2.0,False,0.0,1.0,0.02744902322346031,0.16338780354585297,False,False,False,False
CT2__is_walking,player_slot_numeric,3734887,3734887,2858855,876032,0.23455381648762064,2.0,False,0.0,1.0,0.23455381648762064,0.4237196285973925,False,False,False,False
CT2__shots_fired,combat,3734887,3734887,3241496,493391,0.13210332735635644,33.0,False,0.0,32.0,0.5691711690340296,2.011724332164797,False,False,False,False
CT3__X,position,3734887,3734887,18,3734869,0.999995180577083,,True,-3959.9716796875,3497.971923828125,108.77903997674441,1242.845969157438,False,False,False,False
CT3__Y,position,3734887,3734887,17,3734870,0.9999954483228006,,True,-2889.58203125,3593.97265625,419.51726321617707,1383.7556114760494,False,False,False,False
CT3__alive,state,3734887,3734887,812445,2922442,0.7824713304579228,2.0,False,0.0,1.0,0.7824713304579228,0.41256508270736014,False,False,False,False
CT3__armor,state,3734887,3734887,1016574,2718313,0.727816664868308,89.0,False,0.0,100.0,70.40540182340189,43.63567275864253,False,False,False,False
CT3__duck_amount,player_slot_numeric,3734887,3734887,3254281,480606,0.12868019835673744,,True,0.0,1.0,0.09227011574237323,0.2687562794262428,False,False,False,False
CT3__has_defuser,objective,3734887,3734887,2747908,986979,0.26425940061908165,2.0,False,0.0,1.0,0.26425940061908165,0.4409380566514137,False,False,False,False
CT3__has_helmet,utility,3734887,3734887,2110025,1624862,0.43504984220406134,2.0,False,0.0,1.0,0.43504984220406134,0.495763529318447,False,False,False,False
CT3__hp,state,3734887,3734887,812445,2922442,0.7824713304579228,101.0,False,0.0,100.0,73.2936830485099,41.844391362987125,False,False,False,False
CT3__is_scoped,player_slot_numeric,3734887,3734887,3544639,190248,0.05093808728349747,2.0,False,0.0,1.0,0.05093808728349747,0.2198713227035219,False,False,False,False
CT3__is_walking,player_slot_numeric,3734887,3734887,2886947,847940,0.22703230378857514,2.0,False,0.0,1.0,0.22703230378857514,0.4189136388625074,False,False,False,False
CT3__shots_fired,combat,3734887,3734887,3254924,479963,0.12850803786031545,31.0,False,0.0,30.0,0.5398318610442565,1.9444923298811039,False,False,False,False
CT4__X,position,3734887,3734887,105,3734782,0.9999718866996512,,True,-3959.972412109375,3497.965087890625,108.06284019975683,1285.87029489719,False,False,False,False
CT4__Y,position,3734887,3734887,105,3734782,0.9999718866996512,,True,-2925.32373046875,3593.97216796875,429.14935714065956,1374.4588461113453,False,False,False,False
CT4__alive,state,3734887,3734887,786360,2948527,0.789455477501729,2.0,False,0.0,1.0,0.789455477501729,0.4076953845020153,False,False,False,False
CT4__armor,state,3734887,3734887,1049249,2685638,0.7190680735454646,88.0,False,0.0,100.0,69.8019375151109,44.14956892032167,False,False,False,False
CT4__duck_amount,player_slot_numeric,3734887,3734887,3268116,466771,0.12497593635362998,,True,0.0,1.0,0.09294854356079,0.2722872913438603,False,False,False,False
CT4__has_defuser,objective,3734887,3734887,2655545,1079342,0.28898919833451453,2.0,False,0.0,1.0,0.28898919833451453,0.4532928871937979,False,False,False,False
CT4__has_helmet,utility,3734887,3734887,2041470,1693417,0.4534051498746816,2.0,False,0.0,1.0,0.4534051498746816,0.49782418577425414,False,False,False,False
CT4__hp,state,3734887,3734887,786360,2948527,0.789455477501729,101.0,False,0.0,100.0,74.44857019770612,41.381062264197894,False,False,False,False
CT4__is_scoped,player_slot_numeric,3734887,3734887,3379558,355329,0.09513781809195299,2.0,False,0.0,1.0,0.09513781809195299,0.2934052038745316,False,False,False,False
CT4__is_walking,player_slot_numeric,3734887,3734887,2884440,850447,0.22770354230261852,2.0,False,0.0,1.0,0.22770354230261852,0.41935025828710076,False,False,False,False
CT4__shots_fired,combat,3734887,3734887,3316113,418774,0.11212494514559611,31.0,False,0.0,30.0,0.47018638047148414,1.8561708159072812,False,False,False,False
CT5__X,position,3734887,3734887,0,3734887,1.0,,True,-3959.970458984375,3497.97119140625,136.70030847183796,1235.4841838601208,False,False,False,False
CT5__Y,position,3734887,3734887,0,3734887,1.0,,True,-3089.354736328125,3593.971435546875,392.0703349055922,1414.295964910522,False,False,False,False
CT5__alive,state,3734887,3734887,805313,2929574,0.7843808929159035,2.0,False,0.0,1.0,0.7843808929159035,0.4112511492316506,False,False,False,False
CT5__armor,state,3734887,3734887,1035054,2699833,0.722868724006911,84.0,False,0.0,100.0,70.06901975883072,43.91122947732037,False,False,False,False
CT5__duck_amount,player_slot_numeric,3734887,3734887,3275669,459218,0.12295365294853633,,True,0.0,1.0,0.08877674766034149,0.26490347419891563,False,False,False,False
CT5__has_defuser,objective,3734887,3734887,2565997,1168890,0.31296529185488076,2.0,False,0.0,1.0,0.31296529185488076,0.46370035362189455,False,False,False,False
CT5__has_helmet,utility,3734887,3734887,2053517,1681370,0.4501796172146574,2.0,False,0.0,1.0,0.4501796172146574,0.49751173801139803,False,False,False,False
CT5__hp,state,3734887,3734887,805313,2929574,0.7843808929159035,101.0,False,0.0,100.0,73.6765942316327,41.66643225538904,False,False,False,False
CT5__is_scoped,player_slot_numeric,3734887,3734887,3415517,319370,0.08550994983248489,2.0,False,0.0,1.0,0.08550994983248489,0.2796390500486847,False,False,False,False
CT5__is_walking,player_slot_numeric,3734887,3734887,2896451,838436,0.22448764848842817,2.0,False,0.0,1.0,0.22448764848842817,0.41724446570873064,False,False,False,False
CT5__shots_fired,combat,3734887,3734887,3293614,441273,0.11814895604605977,31.0,False,0.0,30.0,0.49458711869997674,1.8910482006970415,False,False,False,False
CT_alive,state,3734887,3734887,0,3734887,1.0,5.0,False,1.0,5.0,3.925231472866515,1.3401402236896214,False,False,False,False
CT_armor_sum,state,3734887,3734887,136383,3598504,0.9634840357954605,475.0,False,0.0,500.0,349.1558719179456,150.25921370170204,False,False,False,False
CT_burning_players,other,3734887,3734887,3263519,471368,0.12620676341747422,6.0,False,0.0,5.0,0.14084468954482424,0.38948231939855976,False,False,False,False
CT_cash_spent_round_sum,economy,3734887,3734887,42495,3692392,0.9886221457302456,698.0,False,0.0,40000.0,11449.056276669147,7629.274337635416,False,False,False,False
CT_closest_enemy_dist,position,3734887,3734887,51018,3683869,0.9863401489790722,,True,0.0,4937.985235421448,1359.1645076973202,699.8478681982941,False,False,False,False
CT_damage_last_5s,combat,3734887,3734887,2869685,865202,0.2316541303659254,489.0,False,0.0,506.0,18.65903145128621,45.874391197948476,False,False,False,False
CT_defuser_count,objective,3734887,3734887,1367651,2367236,0.6338173015676244,6.0,False,0.0,5.0,1.47790040234149,1.500012129747571,False,False,False,False
CT_defusing_count,objective,3734887,3734887,3694710,40177,0.010757219696338872,2.0,False,0.0,1.0,0.010757219696338872,0.10315765565746234,False,False,False,False
CT_duck_amount_mean,other,3734887,3734887,2505204,1229683,0.32924235726542733,,True,0.0,1.0,0.09190601180581501,0.16698575895026216,False,False,False,False
CT_equip_value_sum,economy,3734887,3734887,189,3734698,0.999949396059372,684.0,False,0.0,36150.0,17728.090689222994,9575.699498907314,False,False,False,False
CT_flashed_players,utility,3734887,3734887,3398613,336274,0.09003592344293147,6.0,False,0.0,5.0,0.12864539141344838,0.45663355170289593,False,False,False,False
CT_helmet_count,utility,3734887,3734887,908258,2826629,0.7568178100167421,6.0,False,0.0,5.0,2.256231580768039,1.8133551096572553,False,False,False,False
CT_hp_sum,state,3734887,3734887,0,3734887,1.0,500.0,False,1.0,500.0,369.2996682362813,143.44805575321035,False,False,False,False
CT_kills_last_3s,combat,3734887,3734887,3413012,321875,0.08618065285509308,6.0,False,0.0,5.0,0.09963460741918029,0.34636344774850797,False,False,False,False
CT_macro_A,position,3734887,3734887,2227680,1507207,0.4035482197988855,6.0,False,0.0,5.0,0.5475972900920429,0.7689505306874936,False,False,False,False
CT_macro_B,position,3734887,3734887,2167870,1567017,0.4195620911690233,6.0,False,0.0,5.0,0.6018455176823289,0.8161490644676086,False,False,False,False
CT_macro_MID,position,3734887,3734887,3039038,695849,0.18631058985184826,6.0,False,0.0,5.0,0.2469054619323155,0.5774908465147861,False,False,False,False
CT_macro_OTHER,utility,3734887,3734887,234622,3500265,0.9371809642433626,6.0,False,0.0,5.0,2.528883203159828,1.3682542947648075,False,False,False,False
CT_mean_X,position,3734887,3734887,0,3734887,1.0,,True,-3950.36474609375,3497.9716796875,129.3404698390041,1069.7796344645224,False,False,False,False
CT_mean_Y,position,3734887,3734887,0,3734887,1.0,,True,-3338.18408203125,3593.96923828125,426.83637391177103,1218.706622352681,False,False,False,False
CT_money_sum,economy,3734887,3734887,21574,3713313,0.9942236538883238,1093.0,False,0.0,70950.0,7044.449176106265,8554.973438970304,False,False,False,False
CT_place_ADMIN,position,3734887,3734887,3668761,66126,0.017704953322550322,6.0,False,0.0,5.0,0.01876843931288952,0.1439458392743008,False,False,False,False
CT_place_ALLEY,position,3734887,3734887,3473752,261135,0.06991777796757974,6.0,False,0.0,5.0,0.09725193827818619,0.3950809663252323,False,False,False,False
CT_place_APARTMENTS,position,3734887,3734887,3558250,176637,0.04729380032113421,5.0,False,0.0,4.0,0.05482200666311993,0.26031421242276537,False,False,False,False
CT_place_ARAMP,position,3734887,3734887,3646487,88400,0.023668721436552163,5.0,False,0.0,4.0,0.024540233747366386,0.16053181107276074,False,False,False,False
CT_place_ARCH,position,3734887,3734887,3558200,176687,0.04730718760701462,6.0,False,0.0,5.0,0.05209019710636493,0.24507113784439494,False,False,False,False
CT_place_BACKALLEY,position,3734887,3734887,3721488,13399,0.0035875248702303443,6.0,False,0.0,5.0,0.0038641061965194665,0.06670427856366297,False,False,False,False
CT_place_BACKOFA,position,3734887,3734887,3713596,21291,0.005700574073593124,6.0,False,0.0,5.0,0.007119894122633429,0.10355899655317785,False,False,False,False
CT_place_BACKOFB,position,3734887,3734887,3655158,79729,0.021347098319172707,6.0,False,0.0,5.0,0.024254281320960983,0.1751490808421478,False,False,False,False
CT_place_BALCONY,position,3734887,3734887,3646334,88553,0.023709686531346197,3.0,False,0.0,2.0,0.024092830653243323,0.1558160916213461,False,False,False,False
CT_place_BANANA,position,3734887,3734887,3535569,199318,0.053366540942202535,6.0,False,0.0,5.0,0.07432567571656117,0.3377990956124699,False,False,False,False
CT_place_BDOORS,position,3734887,3734887,3617546,117341,0.031417550249846916,6.0,False,0.0,5.0,0.035577783210040896,0.20787980703024736,False,False,False,False
CT_place_BOMBSITEA,position,3734887,3734887,2227680,1507207,0.4035482197988855,6.0,False,0.0,5.0,0.5475972900920429,0.7689505306874936,False,False,False,False
CT_place_BOMBSITEB,position,3734887,3734887,2167870,1567017,0.4195620911690233,6.0,False,0.0,5.0,0.6018455176823289,0.8161490644676086,False,False,False,False
CT_place_BRICKS,position,3734887,3734887,3725120,9767,0.0026150724238778846,4.0,False,0.0,3.0,0.0026490761300141073,0.05207886235013979,False,False,False,False
CT_place_BRIDGE,position,3734887,3734887,3714970,19917,0.005332691457599654,6.0,False,0.0,5.0,0.00603445298345037,0.08724069327734521,False,False,False,False
CT_place_CANAL,position,3734887,3734887,3672819,62068,0.01661844120049683,6.0,False,0.0,5.0,0.0199443785046241,0.16453528925364436,False,False,False,False
CT_place_CATWALK,position,3734887,3734887,3543495,191392,0.051244388384441085,6.0,False,0.0,5.0,0.05597010030022327,0.2510417490756895,False,False,False,False
CT_place_CONNECTOR,position,3734887,3734887,3526570,208317,0.05577598465495743,6.0,False,0.0,5.0,0.06381504982613932,0.27965030298989013,False,False,False,False
CT_place_CONSTRUCTION,position,3734887,3734887,3718334,16553,0.004431994863566153,4.0,False,0.0,3.0,0.005046203539759034,0.07949406330030834,False,False,False,False
CT_place_CONTROL,position,3734887,3734887,3709395,25492,0.006825373833264568,6.0,False,0.0,5.0,0.007632627171852857,0.09634340849903814,False,False,False,False
CT_place_CRANE,position,3734887,3734887,3721587,13300,0.0035610180441871466,3.0,False,0.0,2.0,0.0036169768991672303,0.06095746129259558,False,False,False,False
CT_place_CTSIDEUPPER,position,3734887,3734887,3715877,19010,0.005089846091729147,6.0,False,0.0,5.0,0.010966061356073156,0.19366271700211724,False,False,False,False
CT_place_CTSPAWN,position,3734887,3734887,2847141,887746,0.23769018982368142,6.0,False,0.0,5.0,0.40489283879271315,0.9608068651849053,False,False,False,False
CT_place_DECON,position,3734887,3734887,3721003,13884,0.0037173815432702513,4.0,False,0.0,3.0,0.0037993117328583167,0.06289008856420546,False,False,False,False
CT_place_ELECTRICALBOX,position,3734887,3734887,3709202,25685,0.0068770487567629225,4.0,False,0.0,3.0,0.0070658094876766015,0.08602227143600902,False,False,False,False
CT_place_ENTRANCE,position,3734887,3734887,3717307,17580,0.0047069697155496274,6.0,False,0.0,5.0,0.006784944229905751,0.11270615278548311,False,False,False,False
