feature,coefficient,abs_coefficient,base_feature,is_utility
lag_11__T_place_JUNGLE,-7.817415621502732e-07,7.817415621502732e-07,T_place_JUNGLE,False
lag_04__T_place_BACKOFA,-7.811773343746609e-07,7.811773343746609e-07,T_place_BACKOFA,False
lag_13__T_place_STORAGEROOM,-7.724161719124822e-07,7.724161719124822e-07,T_place_STORAGEROOM,False
lag_11__T_place_HEAVEN,-7.71651798459061e-07,7.71651798459061e-07,T_place_HEAVEN,False
lag_02__CT_place_SILO,-7.713389322816511e-07,7.713389322816511e-07,CT_place_SILO,False
lag_03__CT_place_UPSTAIRS,-7.70980420838896e-07,7.70980420838896e-07,CT_place_UPSTAIRS,False
lag_11__T_place_GARAGE,-7.678103202124476e-07,7.678103202124476e-07,T_place_GARAGE,False
lag_05__T_place_BRICKS,-7.589491133330739e-07,7.589491133330739e-07,T_place_BRICKS,False
lag_02__CT_money_sum,-7.523757403760101e-07,7.523757403760101e-07,CT_money_sum,False
lag_06__CT_place_UPSTAIRS,-7.519006430811714e-07,7.519006430811714e-07,CT_place_UPSTAIRS,False
lag_11__CT_place_TSIDELOWER,-7.501586196667631e-07,7.501586196667631e-07,CT_place_TSIDELOWER,False
lag_15__T_place_CRANE,-7.499099865526659e-07,7.499099865526659e-07,T_place_CRANE,False
lag_11__CT_place_CONSTRUCTION,-7.485812716367946e-07,7.485812716367946e-07,CT_place_CONSTRUCTION,False
lag_15__CT5__molly,-7.452727004420012e-07,7.452727004420012e-07,CT5__molly,True
lag_11__CT_place_IVY,-7.452608770108782e-07,7.452608770108782e-07,CT_place_IVY,False
lag_12__T1__molly,-7.435601219185628e-07,7.435601219185628e-07,T1__molly,True
lag_12__T_place_BACKOFA,-7.425649641845666e-07,7.425649641845666e-07,T_place_BACKOFA,False
lag_13__T_place_CRANE,-7.387847063000663e-07,7.387847063000663e-07,T_place_CRANE,False
lag_05__T_place_STORAGEROOM,-7.362793894571951e-07,7.362793894571951e-07,T_place_STORAGEROOM,False
lag_14__CT_place_SILO,-7.28646341485728e-07,7.28646341485728e-07,CT_place_SILO,False
lag_07__CT_place_SILO,-7.280621048266767e-07,7.280621048266767e-07,CT_place_SILO,False
lag_03__T_place_BACKOFA,-7.220123166007397e-07,7.220123166007397e-07,T_place_BACKOFA,False
lag_11__CT_place_TUNNELSTAIRS,-7.19055094577925e-07,7.19055094577925e-07,CT_place_TUNNELSTAIRS,False
lag_11__T_place_PIPE,-7.189455573097803e-07,7.189455573097803e-07,T_place_PIPE,False
