feature,corr,abs_corr
equip_diff,0.5501837175079143,0.5501837175079143
armor_diff,0.5331583009992927,0.5331583009992927
alive_diff,0.5030431050286283,0.5030431050286283
hp_diff,0.49515383728828305,0.49515383728828305
CT_armor_sum,0.35379590691176943,0.35379590691176943
CT_equip_value_sum,0.3416649283709291,0.3416649283709291
utility_inv_diff,0.3380324269448676,0.3380324269448676
CT_helmet_count,0.3363784254372945,0.3363784254372945
T_equip_value_sum,-0.32510979505877075,0.32510979505877075
T_helmet_count,-0.31886957174675634,0.31886957174675634
T_armor_sum,-0.3158057612208492,0.3158057612208492
closest_enemy_dist_diff,0.3074813354753993,0.3074813354753993
flash_inv_diff,0.3053774667361715,0.3053774667361715
spread_diff,0.29054755287525996,0.29054755287525996
smoke_inv_diff,0.27846046681127806,0.27846046681127806
CT_alive,0.2773027439843525,0.2773027439843525
CT1__has_helmet,0.27139391679746244,0.27139391679746244
T3__has_helmet,-0.25988962212175487,0.25988962212175487
CT4__has_helmet,0.25983874123663,0.25983874123663
CT_cash_spent_round_sum,0.25940219397657593,0.25940219397657593
