run_id,max_depth,n_estimators,learning_rate,best_iteration,best_score,train_accuracy,valid_accuracy,train_logloss,valid_logloss,train_roc_auc,valid_roc_auc,train_brier_score,valid_brier_score,auc_gap
d3_n800_lr002,3,800,0.02,652,0.45949113686816606,0.775443993025066,0.7502647016740592,0.4303767617651941,0.4594911368832457,0.8742408774353881,0.8518583932917096,0.14481016034578587,0.15496135622009333,0.022382484143678494
d3_n1000_lr002,3,1000,0.02,652,0.45949113686816606,0.775443993025066,0.7502647016740592,0.4303767617651941,0.4594911368832457,0.8742408774353881,0.8518583932917096,0.14481016034578587,0.15496135622009333,0.022382484143678494
d3_n1500_lr002,3,1500,0.02,652,0.45949113686816606,0.775443993025066,0.7502647016740592,0.4303767617651941,0.4594911368832457,0.8742408774353881,0.8518583932917096,0.14481016034578587,0.15496135622009333,0.022382484143678494
d5_n800_lr002,5,800,0.02,302,0.45966927362657517,0.7802753282190942,0.7505876581566953,0.41833039066274136,0.45966927361303506,0.8818936822766882,0.8520605139158594,0.14044797610883974,0.15486990204674148,0.029833168360828832
d5_n1000_lr002,5,1000,0.02,302,0.45966927362657517,0.7802753282190942,0.7505876581566953,0.41833039066274136,0.45966927361303506,0.8818936822766882,0.8520605139158594,0.14044797610883974,0.15486990204674148,0.029833168360828832
d5_n1500_lr002,5,1500,0.02,302,0.45966927362657517,0.7802753282190942,0.7505876581566953,0.41833039066274136,0.45966927361303506,0.8818936822766882,0.8520605139158594,0.14044797610883974,0.15486990204674148,0.029833168360828832
d5_n800_lr003,5,800,0.03,252,0.4597396742239949,0.790720808493888,0.7529096743862805,0.40882226168479774,0.4597396741825718,0.8904080415493685,0.8521892203722026,0.13652103203220856,0.15488579903860408,0.03821882117716591
d5_n1000_lr003,5,1000,0.03,252,0.4597396742239949,0.790720808493888,0.7529096743862805,0.40882226168479774,0.4597396741825718,0.8904080415493685,0.8521892203722026,0.13652103203220856,0.15488579903860408,0.03821882117716591
d5_n1500_lr003,5,1500,0.03,252,0.4597396742239949,0.790720808493888,0.7529096743862805,0.40882226168479774,0.4597396741825718,0.8904080415493685,0.8521892203722026,0.13652103203220856,0.15488579903860408,0.03821882117716591
d3_n800_lr004,3,800,0.04,253,0.4597533045382796,0.7700872222984153,0.7498967765672587,0.4360383191858681,0.4597533045613363,0.8697978467168734,0.8518696780049004,0.14697761974567977,0.15503741820672867,0.017928168711973003
d3_n1000_lr004,3,1000,0.04,253,0.4597533045382796,0.7700872222984153,0.7498967765672587,0.4360383191858681,0.4597533045613363,0.8697978467168734,0.8518696780049004,0.14697761974567977,0.15503741820672867,0.017928168711973003
d3_n1500_lr004,3,1500,0.04,253,0.4597533045382796,0.7700872222984153,0.7498967765672587,0.4360383191858681,0.4597533045613363,0.8697978467168734,0.8518696780049004,0.14697761974567977,0.15503741820672867,0.017928168711973003
d4_n800_lr002,4,800,0.02,377,0.45983860627754114,0.7736566216454503,0.7518386035198169,0.42832200502191475,0.45983860625297324,0.8750096167716406,0.8517968145379533,0.1441767229209573,0.15502847866724237,0.02321280223368727
d4_n1000_lr002,4,1000,0.02,377,0.45983860627754114,0.7736566216454503,0.7518386035198169,0.42832200502191475,0.45983860625297324,0.8750096167716406,0.8517968145379533,0.1441767229209573,0.15502847866724237,0.02321280223368727
d4_n1500_lr002,4,1500,0.02,377,0.45983860627754114,0.7736566216454503,0.7518386035198169,0.42832200502191475,0.45983860625297324,0.8750096167716406,0.8517968145379533,0.1441767229209573,0.15502847866724237,0.02321280223368727
d4_n800_lr004,4,800,0.04,217,0.4599579912036306,0.7790873095741478,0.7519735093923103,0.42435324978184935,0.45995799126987874,0.8784426098891279,0.8519829373811136,0.1425958516127214,0.15504051442881125,0.026459672508014287
d4_n1000_lr004,4,1000,0.04,217,0.4599579912036306,0.7790873095741478,0.7519735093923103,0.42435324978184935,0.45995799126987874,0.8784426098891279,0.8519829373811136,0.1425958516127214,0.15504051442881125,0.026459672508014287
d4_n1500_lr004,4,1500,0.04,217,0.4599579912036306,0.7790873095741478,0.7519735093923103,0.42435324978184935,0.45995799126987874,0.8784426098891279,0.8519829373811136,0.1425958516127214,0.15504051442881125,0.026459672508014287
