feature,coefficient,abs_coefficient
lag_08__CT_place_LOBBY,-0.002362460596486926,0.002362460596486926
lag_12__CT_place_LOBBY,-0.002250557066872716,0.002250557066872716
lag_09__CT_place_LOBBY,-0.002184815239161253,0.002184815239161253
lag_11__CT_place_LOBBY,-0.002184815239161253,0.002184815239161253
lag_10__CT_place_LOBBY,-0.002184815239161253,0.002184815239161253
lag_03__CT_shots_fired_sum,0.001984155736863613,0.001984155736863613
lag_00__kill_diff_last_3s,0.0019248472526669502,0.0019248472526669502
lag_01__kill_diff_last_3s,0.001885375240817666,0.001885375240817666
lag_01__CT_kills_last_3s,0.0018447909969836473,0.0018447909969836473
lag_02__CT_kills_last_3s,0.0018243275117129087,0.0018243275117129087
lag_00__CT_kills_last_3s,0.0018235272727906704,0.0018235272727906704
lag_12__CT_place_HEAVEN,0.0018075681291520596,0.0018075681291520596
lag_02__kill_diff_last_3s,0.0017788456752896309,0.0017788456752896309
lag_02__damage_diff_last_5s,0.0017518827226012945,0.0017518827226012945
lag_11__CT_place_HEAVEN,0.0017458000220358372,0.0017458000220358372
lag_01__damage_diff_last_5s,0.0016248361207544804,0.0016248361207544804
lag_02__CT_damage_last_5s,0.0015734878834336996,0.0015734878834336996
lag_04__CT_shots_fired_sum,0.0015653439331799746,0.0015653439331799746
lag_00__damage_diff_last_5s,0.0015477061970159411,0.0015477061970159411
lag_02__T_flash_alpha_mean,-0.0015269687864929438,0.0015269687864929438
lag_00__T_place_BOMBSITEA,-0.0015219916822388768,0.0015219916822388768
lag_00__T_macro_A,-0.0015219916822388768,0.0015219916822388768
lag_00__T_flash_alpha_mean,-0.0015124678611755371,0.0015124678611755371
lag_01__T_flash_alpha_mean,-0.0015124678611755371,0.0015124678611755371
lag_01__T_macro_A,-0.0015020768623799086,0.0015020768623799086
lag_01__T_place_BOMBSITEA,-0.0015020768623799086,0.0015020768623799086
lag_13__CT_place_HEAVEN,0.0014933748170733452,0.0014933748170733452
lag_02__T_macro_A,-0.0014878936344757676,0.0014878936344757676
lag_02__T_place_BOMBSITEA,-0.0014878936344757676,0.0014878936344757676
lag_03__CT_kills_last_3s,0.00143824378028512,0.00143824378028512
