tick,seconds_in_round,lstm_delta_from_prev,rank,feature,base_feature,is_utility,feature_delta_scaled,coefficient,ridge_delta_contribution
49080,113.5,0.2683965563774109,1,lag_00__CT_kills_last_3s,CT_kills_last_3s,False,2.8871402740478516,0.0036071110516786575,0.010414235590264553
49080,113.5,0.2683965563774109,2,lag_02__CT_shots_fired_sum,CT_shots_fired_sum,False,5.557928085327148,0.0018554887501522899,0.01031267303647998
49080,113.5,0.2683965563774109,3,lag_00__kill_diff_last_3s,kill_diff_last_3s,False,2.4069459438323975,0.0030855208169668913,0.007426681815008884
49080,113.5,0.2683965563774109,4,lag_08__T_shots_fired_sum,T_shots_fired_sum,False,-4.498422145843506,-0.0014452323084697127,0.006501265022308689
49080,113.5,0.2683965563774109,5,lag_07__T1__is_walking,T1__is_walking,False,2.281590461730957,0.002006997587159276,0.004579146551579649
49080,113.5,0.2683965563774109,6,lag_08__T5__shots_fired,T5__shots_fired,False,-3.688689708709717,-0.0012037241831421852,0.004440165006481589
49080,113.5,0.2683965563774109,7,lag_01__T_kills_last_3s,T_kills_last_3s,False,3.1681017875671387,0.0013917461037635803,0.004409193319172999
49080,113.5,0.2683965563774109,8,lag_02__CT_kills_last_3s,CT_kills_last_3s,False,2.8871407508850098,0.0015013596275821328,0.0043346365625259176
49080,113.5,0.2683965563774109,9,lag_00__CT_damage_last_5s,CT_damage_last_5s,False,1.7438925504684448,0.0023772113490849733,0.004145601162558327
49080,113.5,0.2683965563774109,10,lag_01__CT_shots_fired_sum,CT_shots_fired_sum,False,-5.557928085327148,-0.0007295566610991955,0.004054823456560719
49080,113.5,0.2683965563774109,11,lag_00__damage_diff_last_5s,damage_diff_last_5s,False,1.8047831058502197,0.002240600297227502,0.004043797563399176
49080,113.5,0.2683965563774109,12,lag_10__T4__is_walking,T4__is_walking,False,2.307980537414551,0.0015819305554032326,0.0036510649334120515
49080,113.5,0.2683965563774109,13,lag_10__CT4__duck_amount,CT4__duck_amount,False,3.2162771224975586,0.0010932962177321315,0.003516343613204964
49080,113.5,0.2683965563774109,14,lag_03__CT_place_RUINS,CT_place_RUINS,False,-3.493913412094116,-0.0009220140636898577,0.0032214373032653926
49080,113.5,0.2683965563774109,15,lag_12__CT5__is_walking,CT5__is_walking,False,2.396676540374756,0.0013315054820850492,0.003191187952293617
49080,113.5,0.2683965563774109,16,lag_00__T4__alive,T4__alive,False,-2.4574320316314697,-0.0012583675561472774,0.0030923527400421313
49080,113.5,0.2683965563774109,17,lag_10__T5__duck_amount,T5__duck_amount,False,3.7970333099365234,0.0007911977590993047,0.003004204246047193
49080,113.5,0.2683965563774109,18,lag_01__CT1__alive,CT1__alive,False,-2.44288969039917,-0.0012167535023763776,0.0029723945867123347
49080,113.5,0.2683965563774109,19,lag_09__T_shots_fired_sum,T_shots_fired_sum,False,3.748685359954834,0.0007881501805968583,0.002954527043449201
49080,113.5,0.2683965563774109,20,lag_02__T1__alive,T1__alive,False,-2.4213626384735107,-0.0012175377923995256,0.002948100521445729
49016,112.5,0.2004835605621338,1,lag_00__CT_shots_fired_sum,CT_shots_fired_sum,False,5.557928085327148,0.002824746072292328,0.01569973552911108
49016,112.5,0.2004835605621338,2,lag_00__CT_kills_last_3s,CT_kills_last_3s,False,2.8871407508850098,0.0036071110516786575,0.010414237310269137
