feature_family,is_utility,round_presence_count,mean_abs_coefficient,max_abs_coefficient
kill_diff_last_3s,False,73,0.002784197370215485,0.0094951754435896
kills_last_3s,False,71,0.002472894367086321,0.007331283763051
damage_diff_last_5s,False,46,0.0024050321245221414,0.0060168751515448
damage_last_5s,False,30,0.00204197093262332,0.0041621159762144
flash_duration,True,28,0.0020071422498273645,0.0045870044268667
duck_amount,False,28,0.0018564115411468464,0.0036757863126695
CT_shots_fired_sum,False,27,0.001881138151037222,0.0040235919877886
is_walking,False,15,0.0015369331464170934,0.002820482943207
T_shots_fired_sum,False,13,0.002144089111914946,0.0066148922778666
shots_fired,False,13,0.0013607281054226308,0.0027111121453344
is_scoped,False,9,0.0016017941137154222,0.0031626750715076
CT_velocity_mean,False,8,0.0020768220856552375,0.0051368945278227
alive,False,8,0.0020423678652150127,0.003234461415559
CT_defusing_count,False,7,0.004902828118896857,0.0066287387162446
T_bomb_zone_count,False,7,0.0024661780833931286,0.003926760982722
flashed_players,False,7,0.0017833651675443142,0.0034360170830041
flashes_last_5s,True,7,0.0014622582987482715,0.0023856938350945
CT_place_BALCONY,False,6,0.0017642483580857166,0.0023806465324014
CT_place_HUT,False,6,0.0016728335176594,0.0024326122365891
CT_place_VENTS,False,6,0.0016529541656684834,0.0023507194127887
CT_place_STAIRS,False,6,0.0015146219326803668,0.0020953163038939
flash_alpha_mean,True,5,0.0060408648103475,0.0081843538209795
CT_duck_amount_mean,False,5,0.0038005899637937,0.0053452956490218
utility_damage_last_5s,True,5,0.0022857437375932398,0.0045362534001469
T_place_HUT,False,5,0.00207746091764418,0.0033211731351912
CT_place_TOPOFMID,False,5,0.00180130817461754,0.0035178123507648
T_velocity_mean,False,5,0.0005040232586906999,0.0016752203227952
T_place_TSPAWN,False,5,0.00027257389156144,0.0004096148186363
CT_place_LOBBY,False,4,0.002465468074660725,0.0039683780632913
CT_place_MINI,False,4,0.002260651206597625,0.003098374698311
CT_place_RAFTERS,False,4,0.0022516528551932,0.0040316982194781
T_place_UNDERPASS,False,4,0.001918343034048975,0.0036884020082652
T_place_BALCONY,False,4,0.0017707834194879502,0.0019565301481634
CT_place_TSIDEUPPER,False,4,0.0017404316749889,0.0026035667397081
CT_place_CTSIDEUPPER,False,4,0.0015492339007323,0.0023261087480932
CT_place_HEAVEN,False,4,0.00098027825879395,0.0015330126043409
utility_inv_diff,True,4,0.00017694933194431327,0.0002465006546117
T_duck_amount_mean,False,3,0.004485357630376967,0.0056251427158713
CT_place_HOLE,False,3,0.003555132658220767,0.0055890632793307
CT_place_UPPERTUNNEL,False,3,0.0035237998235970332,0.0055796564556658
CT_place_ARAMP,False,3,0.0030983394632736333,0.0039710248820483
T_place_BDOORS,False,3,0.0029478316040088335,0.0036124614998698
CT_place_CONNECTOR,False,3,0.002390453048671267,0.0032027356792241
flash_duration_sum,True,3,0.002200965109902067,0.0024349356535822
flash,True,3,0.002176305705991833,0.0024955470580607
hp,False,3,0.002156718013187233,0.0028711138293147
T_macro_A,False,3,0.002013006868461733,0.0024076050613075
T_place_BOMBSITEA,False,3,0.002013006868461733,0.0024076050613075
T_place_TUNNELSTAIRS,False,3,0.0020112063114841334,0.0026245941407978
T_place_MIDDOORS,False,3,0.0019545120885595,0.0028544175438582
T_place_CONNECTOR,False,3,0.0019406211019182666,0.0024926126934587
T_place_QUAD,False,3,0.0019231091331069,0.0020678616128861
CT_place_SHOP,False,3,0.0018258458003401002,0.0024018641561269
T_place_SQUEAKY,False,3,0.0017779128005106669,0.0023112276103347
CT_place_HUTROOF,False,3,0.0016910748478645334,0.0018835718510672
T_place_ARCH,False,3,0.001672530158733267,0.0019503962248563
T_place_DECON,False,3,0.0016348015439385667,0.0018546333303675
T_closest_enemy_dist,False,3,0.0016326319309882332,0.0045502935536205
CT_place_PALACEINTERIOR,False,3,0.0015939506314073335,0.0022112682927399
T_place_MINI,False,3,0.0014904842246323332,0.0020247725769877
T_place_LOWERMID,False,3,0.0011050121781105333,0.0014552806969732
T_place_VENDING,False,3,0.0010849020909517667,0.0014647546922788
CT_place_CTSPAWN,False,3,0.0003152119170408333,0.0003437290433794
T_place_EXTENDEDA,False,2,0.00309540890157215,0.0031318794935941
CT_place_SHORTSTAIRS,False,2,0.0030344318365678,0.0034656503703445
CT_place_LOCKERROOM,False,2,0.0029189417837186997,0.0033437060192227
CT_place_QUAD,False,2,0.00286589167080815,0.0039492058567702
T_place_WALKWAY,False,2,0.0028117274632677002,0.0030962582677602
T_place_SHORTSTAIRS,False,2,0.0026208197232335502,0.0028145073447376
T_place_CONSTRUCTION,False,2,0.0025300077395513,0.0027386685833334
T_place_SIDEENTRANCE,False,2,0.002483012212906,0.0036970693618059
CT_place_FOUNTAIN,False,2,0.00243382289772845,0.0032144137658178
CT_place_GARAGE,False,2,0.00233728770399465,0.0031520731281489
CT_place_BRICKS,False,2,0.00233476364519445,0.0034550596028566
CT_place_ARCH,False,2,0.0023114326759241,0.0034796432591974
has_bomb,False,2,0.00228920578956595,0.0027016557287424
T_place_UPSTAIRS,False,2,0.0022430528479162,0.0037105006631463
CT_place_VENDING,False,2,0.00222155066148835,0.0039888992905616
T_place_MAIN,False,2,0.0021949762012809003,0.0022193524055182
T_place_LONGA,False,2,0.00217388907913115,0.0030875168740749
CT_place_CANAL,False,2,0.002136702183634,0.0025244958233088
CT_B_site_active_infernos,True,2,0.0021359258098527503,0.0025598702486604
CT_place_SECONDMID,False,2,0.0021278626518323497,0.002227718476206
utility_total,True,2,0.00210803112713615,0.0023915120400488
CT_burning_players,False,2,0.0020705313654616,0.002739552874118
T_place_VENTS,False,2,0.00206410355167455,0.003115803701803
CT_place_LIBRARY,False,2,0.00195252802222965,0.0021936011034995
CT_place_TUNNELSTAIRS,False,2,0.0019432825502007501,0.00197787838988
bomb_events_last_5s,False,2,0.00189763208618385,0.0020340620540082
