run_id,max_depth,n_estimators,learning_rate,best_iteration,best_score,train_accuracy,valid_accuracy,train_logloss,valid_logloss,train_roc_auc,valid_roc_auc,train_brier_score,valid_brier_score,auc_gap,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
random_032_mcw10_sub078_col069_l21024_l1033_g022,3,1500,0.02,578,0.4595267522447161,0.7726734338013569,0.7495901723115916,0.43389478578949503,0.45952675098254214,0.8713661230474464,0.8519900228280215,0.1461628820735884,0.1550010819599002,0.01937610021942493,10.0,0.7802699952311001,0.689587781698661,10.23671627286839,0.3292156351640363,0.22455309696164494
random_021_mcw8_sub067_col071_l2422_l1035_g428,3,1500,0.02,495,0.4595957367176421,0.7681235183163264,0.7506121864971486,0.4370167705637428,0.4595957354117721,0.8687138623548949,0.8521099890800082,0.14737750237325797,0.15494311808157796,0.01660387327488666,8.0,0.6708271776783306,0.7070848184527283,4.217770026123238,0.3535455658784634,4.283071420461877
random_016_mcw20_sub066_col061_l2125_l1144_g231,3,1500,0.02,546,0.4596263003114548,0.7706001898692467,0.751176338327576,0.4349684540388158,0.4596262991568232,0.8705985125224525,0.8519392420051318,0.14657631269110094,0.15500683058467815,0.018659270517320636,20.0,0.6584405219676963,0.6079492255968512,1.25077145886957,1.4447187011929006,2.3093861512569367
random_007_mcw30_sub076_col067_l2138_l1095_g113,3,1500,0.02,480,0.4596689437151373,0.7691227363970085,0.7488624982114752,0.43789876700355385,0.4596689425099708,0.8683229699594835,0.8520857735329097,0.14766100812494498,0.15501746810050854,0.01623719642657384,30.0,0.7643445339465327,0.6663149756794999,1.3810482504023833,0.9514098524518675,1.1345467452544207
random_037_mcw5_sub071_col087_l21119_l1100_g072,3,1500,0.02,625,0.4597014807732699,0.7744144956086058,0.7495206753469739,0.43146121136730053,0.4597014796132762,0.8731966083169278,0.8519280747447698,0.14525565890910289,0.15503828371978573,0.021268533572157966,5.0,0.7086132855150331,0.8720916933844121,11.188628483624763,1.0014823724046846,0.7194875127562539
random_026_mcw15_sub087_col063_l2335_l1098_g469,3,1500,0.02,576,0.45971150897278396,0.7722646627683506,0.7500930032908857,0.43393946488900553,0.45971150783809356,0.8713159209249317,0.8517211501487008,0.1461991322536266,0.15507532329329377,0.019594770776230952,15.0,0.8739573295376002,0.6289554999728535,3.3511397855888423,0.9814139887090418,4.689132274874915
random_013_mcw5_sub071_col061_l2296_l1043_g204,3,1500,0.02,521,0.45972656374353554,0.7702003245232341,0.7505467775892729,0.4357036147073751,0.45972656255408867,0.8698888617553977,0.8520363887687918,0.14686870472040897,0.1550229300446516,0.01785247298660586,5.0,0.7063825343219142,0.6107862420987787,2.960037521924743,0.4291693456390584,2.042643218623181
random_025_mcw30_sub072_col081_l2106_l1192_g241,3,1500,0.02,521,0.45973362599062095,0.7700685203557288,0.7495370275739427,0.4356872548856022,0.45973362474266277,0.870085838091452,0.8517301136982647,0.1468391333233787,0.15505403767236192,0.018355724393187334,30.0,0.7214044315871929,0.8068204220184958,1.0583017394709981,1.9171184264828907,2.4115171847145014
random_011_mcw10_sub076_col080_l2142_l1023_g334,3,1500,0.02,489,0.4597441255884375,0.7690764268246417,0.7489360832328352,0.4367798578668554,0.45974412436790085,0.8687425673030584,0.8521099964061074,0.14733850770140147,0.15496369238706056,0.016632570896951027,10.0,0.760620521438419,0.7990594185835128,1.4153579825048215,0.22906014707194688,3.3420148089523583
random_024_mcw20_sub065_col064_l2431_l1034_g463,3,1500,0.02,561,0.45975981444587327,0.771431981034449,0.7499867138155878,0.43416739301691465,0.459759813225526,0.8712196009503043,0.8518071863788588,0.14624385457026187,0.1550847698116186,0.01941241457144549,20.0,0.6505834661031163,0.6361910387028931,4.307001287983767,0.3411859370737722,4.625600591883986
random_027_mcw8_sub077_col069_l2228_l1104_g219,3,1500,0.02,549,0.4597638200194047,0.7710828781042999,0.7516096723422521,0.434731004286884,0.4597638188491282,0.8706309682349499,0.8520528634183474,0.14652416670741789,0.1550079370790314,0.018578104816602492,8.0,0.7657212903699337,0.6934414820821627,2.2794131200830603,1.0413448049430756,2.1945573015252333
random_020_mcw30_sub085_col076_l2197_l1019_g451,3,1500,0.02,493,0.4597651021508912,0.7689686680120191,0.7494389142121293,0.43712866802695466,0.4597651009032332,0.8686872517610325,0.8517933214000928,0.1474273590237024,0.15502061791219118,0.01689393036093967,30.0,0.8509115662056485,0.757276525750326,1.9669711403302492,0.1927819243069986,4.513011982719208
random_036_mcw5_sub089_col065_l2156_l1120_g437,3,1500,0.02,638,0.45977288364989394,0.7745017713411431,0.7505345134190462,0.43079532974169255,0.459772882462115,0.8737709791674413,0.8519207691788269,0.14503499313456616,0.15503738024233055,0.021850209988614422,5.0,0.8908894352437171,0.6536495108185729,1.5612160097401595,1.198765583041687,4.3728102041873225
random_019_mcw10_sub092_col084_l2194_l1194_g389,3,1500,0.02,447,0.45977757216771054,0.767098473743363,0.7501134435745969,0.43905528100787306,0.4597775709464075,0.8670002692711092,0.8520492755452868,0.14818118376081,0.15498860259344113,0.014950993725822426,10.0,0.9180032417476625,0.8448974968337624,1.9360736591449945,1.9383527546954478,3.893754519828973
random_034_mcw12_sub078_col071_l2681_l1132_g187,3,1500,0.02,574,0.4597780105189177,0.7718496577544488,0.7493285366800891,0.4338675058088913,0.4597780092295019,0.871429560184038,0.8519140961778606,0.14614125998496325,0.15504419960240456,0.01951546400617743,12.0,0.7816004261352572,0.7105751681407775,6.809909469212082,1.3233225263355222,1.8682886443685502
random_009_mcw25_sub088_col074_l2205_l1136_g070,3,1500,0.02,526,0.4597796019976473,0.7703909062248971,0.7497455184677964,0.4358925451326079,0.45977960068667734,0.8697186467389335,0.8518750273007254,0.14695941742002686,0.15503248343258344,0.017843619438208114,25.0,0.8816675251238806,0.735617432660561,2.0471906175269963,1.364991007949951,0.698762418046549
random_028_mcw15_sub061_col089_l2927_l1028_g277,3,1500,0.02,435,0.45980837248297024,0.7668891900990135,0.7482574658136255,0.43949004564812155,0.45980837140748854,0.8669929196459119,0.8519800698854023,0.14824630183666745,0.15500829266936694,0.015012849760509539,15.0,0.6075642279581156,0.8892021734680252,9.270857344502303,0.28049817799722154,2.770180717695247
