feature,coefficient,abs_coefficient,base_feature,is_utility
lag_13__CT_place_KITCHEN,-3.228716877856641e-06,3.228716877856641e-06,CT_place_KITCHEN,False
lag_06__T_place_STORAGEROOM,-3.228426066925749e-06,3.228426066925749e-06,T_place_STORAGEROOM,False
lag_02__T_place_RESTROOM,-3.215119022570434e-06,3.215119022570434e-06,T_place_RESTROOM,False
lag_02__T_place_DECK,-3.206647988918121e-06,3.206647988918121e-06,T_place_DECK,False
lag_01__CT_mollies_last_5s,-3.180442945449613e-06,3.180442945449613e-06,CT_mollies_last_5s,True
lag_04__CT_place_DUMPSTER,-3.1782064979779534e-06,3.1782064979779534e-06,CT_place_DUMPSTER,False
lag_08__T_place_STORAGEROOM,-3.1706065328762634e-06,3.1706065328762634e-06,T_place_STORAGEROOM,False
lag_02__CT_place_STORAGEROOM,-3.1621684684068896e-06,3.1621684684068896e-06,CT_place_STORAGEROOM,False
lag_07__T_place_BRICKS,-3.1599872727383627e-06,3.1599872727383627e-06,T_place_BRICKS,False
lag_04__CT_place_PLAYGROUND,-3.156520733682555e-06,3.156520733682555e-06,CT_place_PLAYGROUND,False
lag_05__T_place_BRICKS,-3.153152420054539e-06,3.153152420054539e-06,T_place_BRICKS,False
lag_04__CT_place_KITCHEN,-3.1518707146460656e-06,3.1518707146460656e-06,CT_place_KITCHEN,False
lag_11__T_place_BRICKS,-3.128094249404967e-06,3.128094249404967e-06,T_place_BRICKS,False
lag_15__T_place_BRICKS,-3.1263807613868266e-06,3.1263807613868266e-06,T_place_BRICKS,False
lag_01__T_place_ENTRANCE,-3.088867515543825e-06,3.088867515543825e-06,T_place_ENTRANCE,False
lag_06__T_place_CRANE,-3.0878418328939006e-06,3.0878418328939006e-06,T_place_CRANE,False
lag_09__T_place_BRICKS,-3.076895836784388e-06,3.076895836784388e-06,T_place_BRICKS,False
lag_07__T_place_STORAGEROOM,-3.0656165108666755e-06,3.0656165108666755e-06,T_place_STORAGEROOM,False
lag_10__T_flash_duration_sum,3.064470774916117e-06,3.064470774916117e-06,T_flash_duration_sum,True
lag_05__T_place_STORAGEROOM,-3.0589844755013473e-06,3.0589844755013473e-06,T_place_STORAGEROOM,False
lag_13__CT_utility_damage_last_5s,3.0442099614447216e-06,3.0442099614447216e-06,CT_utility_damage_last_5s,True
lag_01__T_place_KITCHEN,-3.0377907478396082e-06,3.0377907478396082e-06,T_place_KITCHEN,False
lag_11__T_place_STORAGEROOM,-3.034673682122957e-06,3.034673682122957e-06,T_place_STORAGEROOM,False
lag_15__T_place_STORAGEROOM,-3.0330093068187125e-06,3.0330093068187125e-06,T_place_STORAGEROOM,False
lag_08__T_place_CRANE,-3.032540234926273e-06,3.032540234926273e-06,T_place_CRANE,False
lag_00__CT1__Y,-3.0308074201457202e-06,3.0308074201457202e-06,CT1__Y,False
lag_10__T_place_CTSIDEUPPER,-3.025218802577001e-06,3.025218802577001e-06,T_place_CTSIDEUPPER,False
lag_02__T_place_QUAD,-3.0218293431971688e-06,3.0218293431971688e-06,T_place_QUAD,False
lag_10__CT_place_PIPE,-3.0208545922505436e-06,3.0208545922505436e-06,CT_place_PIPE,False
lag_14__CT_place_SILO,-3.002855464728782e-06,3.002855464728782e-06,CT_place_SILO,False
lag_09__T_place_STORAGEROOM,-2.9850052669644356e-06,2.9850052669644356e-06,T_place_STORAGEROOM,False
lag_02__T_place_LIBRARY,-2.9782049750792794e-06,2.9782049750792794e-06,T_place_LIBRARY,False
lag_03__T_place_CTSIDEUPPER,-2.9762675239908276e-06,2.9762675239908276e-06,T_place_CTSIDEUPPER,False
lag_03__CT_place_PIPE,-2.9719731173827313e-06,2.9719731173827313e-06,CT_place_PIPE,False
lag_10__CT_place_DUMPSTER,-2.9674215511477087e-06,2.9674215511477087e-06,CT_place_DUMPSTER,False
lag_06__CT1__hp,-2.9497505238396116e-06,2.9497505238396116e-06,CT1__hp,False
lag_13__T_place_BRICKS,-2.9484265269275056e-06,2.9484265269275056e-06,T_place_BRICKS,False
lag_10__CT_place_PLAYGROUND,-2.947175516965217e-06,2.947175516965217e-06,CT_place_PLAYGROUND,False
lag_10__CT_place_KITCHEN,-2.942833134511602e-06,2.942833134511602e-06,CT_place_KITCHEN,False
lag_02__T_place_ADMIN,-2.93459856948175e-06,2.93459856948175e-06,T_place_ADMIN,False
lag_07__T_place_CRANE,-2.932120196419419e-06,2.932120196419419e-06,T_place_CRANE,False
lag_05__T_place_CRANE,-2.9257780624902807e-06,2.9257780624902807e-06,T_place_CRANE,False
lag_03__CT_place_DUMPSTER,-2.919406824730686e-06,2.919406824730686e-06,CT_place_DUMPSTER,False
lag_02__T_place_HOLE,-2.9124771572242025e-06,2.9124771572242025e-06,T_place_HOLE,False
lag_02__T_place_HELL,-2.906076815634151e-06,2.906076815634151e-06,T_place_HELL,False
lag_11__T_place_CRANE,-2.902526375692105e-06,2.902526375692105e-06,T_place_CRANE,False
lag_15__T_place_CRANE,-2.900936124206055e-06,2.900936124206055e-06,T_place_CRANE,False
lag_03__CT_place_PLAYGROUND,-2.89948684439878e-06,2.89948684439878e-06,CT_place_PLAYGROUND,False
lag_03__CT_place_KITCHEN,-2.8952133561688242e-06,2.8952133561688242e-06,CT_place_KITCHEN,False
lag_02__T_place_ELECTRICALBOX,-2.893736336773145e-06,2.893736336773145e-06,T_place_ELECTRICALBOX,False
