feature_family,is_utility,round_presence_count,mean_abs_coefficient,max_abs_coefficient
kill_diff_last_3s,False,8,0.0027063415327574624,0.0052768508903682
kills_last_3s,False,8,0.002214648644439825,0.0041242064908146
damage_diff_last_5s,False,4,0.002330393530428375,0.0038952736649662
flash_duration,True,4,0.002091541566187475,0.003174539655447
CT_shots_fired_sum,False,3,0.002954671508632533,0.0047326660715043
duck_amount,False,3,0.0014954796400464003,0.0028162912931293
CT_place_OUTSIDELONG,False,2,0.0025842110626399,0.0027869655750691
CT_place_WALKWAY,False,2,0.0024347301223315,0.003064242657274
T_bomb_zone_count,False,2,0.0023621413856744,0.0035424528177827
CT_place_HEAVEN,False,2,0.0021111933747305998,0.0028371862135827
CT_place_BRIDGE,False,2,0.0020300802425480997,0.0021614946890622
is_scoped,False,2,0.00175894895801315,0.0017766221426427
CT_place_FOUNTAIN,False,2,0.0015136022702790502,0.00169734924566
T_place_ROOF,False,2,0.00132185005350035,0.0013397122966125
damage_last_5s,False,2,0.0008492330671288,0.0014597283443436
flash_alpha_mean,True,1,0.0039816554635763,0.0039816554635763
CT_place_CTSIDEUPPER,False,1,0.0031239206437021,0.0031239206437021
CT_defusing_count,False,1,0.0029555545188486,0.0029555545188486
CT_place_HOLE,False,1,0.0027396453078836,0.0027396453078836
CT_place_CANAL,False,1,0.0027391570620238,0.0027391570620238
CT_place_TUNNEL,False,1,0.0026838709600269,0.0026838709600269
T_place_HELL,False,1,0.0025530247949063,0.0025530247949063
T_place_MAIN,False,1,0.0025313347578048,0.0025313347578048
T_place_HUT,False,1,0.0024567325599491,0.0024567325599491
CT_place_MAINHALL,False,1,0.00245449738577,0.00245449738577
T_place_SILO,False,1,0.0022372181992977,0.0022372181992977
CT_place_TROPHY,False,1,0.0021956055425107,0.0021956055425107
CT_place_SQUEAKY,False,1,0.0020736202131956,0.0020736202131956
flashed_players,False,1,0.0020435843616724,0.0020435843616724
CT_place_RUINS,False,1,0.001900773262605,0.001900773262605
T_place_STREET,False,1,0.0018841056153178,0.0018841056153178
CT_place_BRICKS,False,1,0.0018644956871867,0.0018644956871867
T_shots_fired_sum,False,1,0.0018232642905786,0.0018232642905786
utility_damage_last_5s,True,1,0.0016039765905588,0.0016039765905588
CT_place_LOBBY,False,1,0.0015038409037515,0.0015038409037515
T_place_SQUEAKY,False,1,0.0013696799287572,0.0013696799287572
CT_place_TSIDELOWER,False,1,0.0006404484156519,0.0006404484156519
is_walking,False,1,0.0005793568561784,0.0005793568561784
CT_walking_count,False,1,0.0003233202151022,0.0003233202151022
T_walking_count,False,1,0.0003041083400603,0.0003041083400603
