feature,coefficient,abs_coefficient,base_feature,is_utility
lag_07__CT_place_TUNNEL,-3.4319104997848626e-06,3.4319104997848626e-06,CT_place_TUNNEL,False
lag_14__T_place_SNIPERSNEST,-3.4314236927457387e-06,3.4314236927457387e-06,T_place_SNIPERSNEST,False
lag_11__T_place_SIDE,-3.4290339954168303e-06,3.4290339954168303e-06,T_place_SIDE,False
lag_11__T_place_UPSTAIRS,-3.4245106235175626e-06,3.4245106235175626e-06,T_place_UPSTAIRS,False
lag_02__T_smokes_last_5s,-3.4184822652605362e-06,3.4184822652605362e-06,T_smokes_last_5s,True
lag_10__T_place_ADMIN,-3.4152101306972327e-06,3.4152101306972327e-06,T_place_ADMIN,False
lag_03__CT_place_RESTROOM,-3.4146617053920636e-06,3.4146617053920636e-06,CT_place_RESTROOM,False
lag_14__T_smokes_last_5s,-3.4117756513296627e-06,3.4117756513296627e-06,T_smokes_last_5s,True
lag_08__T_place_DECON,-3.4114530080842087e-06,3.4114530080842087e-06,T_place_DECON,False
lag_12__CT_he_last_5s,-3.4065487852785736e-06,3.4065487852785736e-06,CT_he_last_5s,True
lag_05__CT_place_TSIDELOWER,-3.4047220651700627e-06,3.4047220651700627e-06,CT_place_TSIDELOWER,False
lag_03__T_place_SNIPERSNEST,-3.4018928545265226e-06,3.4018928545265226e-06,T_place_SNIPERSNEST,False
lag_12__T_place_STAIRS,-3.4017434700217564e-06,3.4017434700217564e-06,T_place_STAIRS,False
lag_05__CT_place_CONSTRUCTION,-3.3975534279306885e-06,3.3975534279306885e-06,CT_place_CONSTRUCTION,False
lag_06__CT_place_OUTSIDELONG,-3.397512728042784e-06,3.397512728042784e-06,CT_place_OUTSIDELONG,False
lag_12__CT_place_BRICKS,-3.395799240024644e-06,3.395799240024644e-06,CT_place_BRICKS,False
lag_11__T_place_DECON,-3.3946041639865143e-06,3.3946041639865143e-06,T_place_DECON,False
lag_08__T_place_GRAVEYARD,-3.391310656297719e-06,3.391310656297719e-06,T_place_GRAVEYARD,False
lag_01__CT_place_SIDEALLEY,-3.389747007531696e-06,3.389747007531696e-06,CT_place_SIDEALLEY,False
lag_10__T_place_HOLE,-3.3894284570124e-06,3.3894284570124e-06,T_place_HOLE,False
lag_05__CT_place_IVY,-3.382516979399952e-06,3.382516979399952e-06,CT_place_IVY,False
lag_03__T_smokes_last_5s,-3.3824103411461692e-06,3.3824103411461692e-06,T_smokes_last_5s,True
lag_10__T_place_HELL,-3.3819835607573623e-06,3.3819835607573623e-06,T_place_HELL,False
lag_06__T_place_ARAMP,-3.379877625775407e-06,3.379877625775407e-06,T_place_ARAMP,False
lag_07__CT_smokes_last_5s,-3.379780082468642e-06,3.379780082468642e-06,CT_smokes_last_5s,True
lag_04__CT_place_SIDEALLEY,-3.3792880458349828e-06,3.3792880458349828e-06,CT_place_SIDEALLEY,False
lag_12__CT_walking_count,-3.375041160325054e-06,3.375041160325054e-06,CT_walking_count,False
lag_02__T_place_OBSERVATION,-3.374737843842013e-06,3.374737843842013e-06,T_place_OBSERVATION,False
lag_11__T_place_GRAVEYARD,-3.374562083990895e-06,3.374562083990895e-06,T_place_GRAVEYARD,False
lag_12__T_place_SIDE,-3.374418383828015e-06,3.374418383828015e-06,T_place_SIDE,False
