feature,coefficient,abs_coefficient,base_feature,is_utility
lag_01__CT5__is_scoped,0.0007186828879639506,0.0007186828879639506,CT5__is_scoped,False
lag_01__CT2__flash_duration,0.0007179623935371637,0.0007179623935371637,CT2__flash_duration,True
lag_12__T_place_TSTAIRS,-0.000717334623914212,0.000717334623914212,T_place_TSTAIRS,False
lag_09__CT3__is_walking,0.0007148876902647316,0.0007148876902647316,CT3__is_walking,False
lag_05__CT3__flash_duration,-0.0007121839444153011,0.0007121839444153011,CT3__flash_duration,True
lag_03__T2__duck_amount,0.0007116482011042535,0.0007116482011042535,T2__duck_amount,False
lag_03__CT_velocity_mean,-0.0007115569896996021,0.0007115569896996021,CT_velocity_mean,False
lag_12__CT5__is_scoped,-0.0007086865371093154,0.0007086865371093154,CT5__is_scoped,False
lag_02__CT_place_WATER,0.0007063814555294812,0.0007063814555294812,CT_place_WATER,False
lag_02__T4__is_scoped,0.0006996814627200365,0.0006996814627200365,T4__is_scoped,False
lag_11__CT3__is_walking,0.0006989524117670953,0.0006989524117670953,CT3__is_walking,False
lag_05__CT_place_SNIPERSNEST,0.0006959890015423298,0.0006959890015423298,CT_place_SNIPERSNEST,False
lag_14__CT1__is_walking,0.0006948832306079566,0.0006948832306079566,CT1__is_walking,False
lag_02__T_duck_amount_mean,0.0006777099915780127,0.0006777099915780127,T_duck_amount_mean,False
lag_03__T4__is_scoped,-0.0006757607334293425,0.0006757607334293425,T4__is_scoped,False
lag_00__CT_flash_duration_sum,0.0006703637773171067,0.0006703637773171067,CT_flash_duration_sum,True
lag_07__CT4__duck_amount,-0.0006572805577889085,0.0006572805577889085,CT4__duck_amount,False
lag_00__T_place_CANAL,-0.0006523304618895054,0.0006523304618895054,T_place_CANAL,False
lag_15__CT_place_STAIRS,0.0006491044769063592,0.0006491044769063592,CT_place_STAIRS,False
lag_13__CT3__duck_amount,0.000648756860755384,0.000648756860755384,CT3__duck_amount,False
lag_02__CT2__flash_duration,0.000648243585601449,0.000648243585601449,CT2__flash_duration,True
lag_06__kill_diff_last_3s,0.0006413062801584601,0.0006413062801584601,kill_diff_last_3s,False
lag_15__CT_place_SNIPERSNEST,0.000640989514067769,0.000640989514067769,CT_place_SNIPERSNEST,False
lag_08__CT_place_WALKWAY,-0.0006406275206245482,0.0006406275206245482,CT_place_WALKWAY,False
lag_11__T4__is_scoped,-0.0006404703017324209,0.0006404703017324209,T4__is_scoped,False
lag_14__T_place_TSTAIRS,0.0006367762107402086,0.0006367762107402086,T_place_TSTAIRS,False
lag_00__hp_diff,0.0006356349331326783,0.0006356349331326783,hp_diff,False
lag_00__CT2__duck_amount,0.000635040458291769,0.000635040458291769,CT2__duck_amount,False
lag_10__CT_place_STAIRS,0.0006324606947600842,0.0006324606947600842,CT_place_STAIRS,False
lag_01__kill_diff_last_3s,0.000629076617769897,0.000629076617769897,kill_diff_last_3s,False
lag_09__T_kills_last_3s,-0.0006264590192586184,0.0006264590192586184,T_kills_last_3s,False
lag_15__T_place_TSTAIRS,0.0006222118390724063,0.0006222118390724063,T_place_TSTAIRS,False
lag_04__CT3__is_walking,0.000621848157607019,0.000621848157607019,CT3__is_walking,False
lag_03__T_duck_amount_mean,0.0006155945011414587,0.0006155945011414587,T_duck_amount_mean,False
lag_14__T_place_ALLEY,0.0006151586421765387,0.0006151586421765387,T_place_ALLEY,False
lag_00__T_damage_last_5s,-0.0006088697700761259,0.0006088697700761259,T_damage_last_5s,False
lag_13__T3__is_walking,-0.0006075461860746145,0.0006075461860746145,T3__is_walking,False
lag_06__CT5__is_scoped,-0.0006064178887754679,0.0006064178887754679,CT5__is_scoped,False
lag_09__CT_shots_fired_sum,0.0006018642452545464,0.0006018642452545464,CT_shots_fired_sum,False
lag_11__CT_kills_last_3s,0.0006005188333801925,0.0006005188333801925,CT_kills_last_3s,False
lag_13__CT_place_LOWERPARK,-0.000600208411924541,0.000600208411924541,CT_place_LOWERPARK,False
lag_15__CT_place_LOWERPARK,-0.0005961168790236115,0.0005961168790236115,CT_place_LOWERPARK,False
lag_14__T_place_CANAL,-0.0005930260522291064,0.0005930260522291064,T_place_CANAL,False
lag_09__CT_place_WATER,-0.0005897213704884052,0.0005897213704884052,CT_place_WATER,False
lag_14__CT_place_UNDERA,0.0005862711113877594,0.0005862711113877594,CT_place_UNDERA,False
lag_00__CT3__duck_amount,0.0005825775442644954,0.0005825775442644954,CT3__duck_amount,False
lag_01__CT_flashed_players,0.0005800829385407269,0.0005800829385407269,CT_flashed_players,False
lag_14__CT_place_WALKWAY,-0.0005769964773207903,0.0005769964773207903,CT_place_WALKWAY,False
lag_06__CT3__is_walking,0.0005743245710618794,0.0005743245710618794,CT3__is_walking,False
lag_03__CT4__duck_amount,-0.0005703833885490894,0.0005703833885490894,CT4__duck_amount,False
lag_15__CT2__is_walking,-0.0005699761095456779,0.0005699761095456779,CT2__is_walking,False
lag_09__T_place_FOUNTAIN,0.000568127550650388,0.000568127550650388,T_place_FOUNTAIN,False
lag_10__CT5__is_scoped,-0.000567197275813669,0.000567197275813669,CT5__is_scoped,False
lag_02__kill_diff_last_3s,0.0005662533803842962,0.0005662533803842962,kill_diff_last_3s,False
lag_00__armor_diff,0.0005659553571604192,0.0005659553571604192,armor_diff,False
lag_14__T4__is_scoped,0.000563929439522326,0.000563929439522326,T4__is_scoped,False
lag_11__CT_place_LOWERPARK,0.0005603226600214839,0.0005603226600214839,CT_place_LOWERPARK,False
lag_00__T5__alive,-0.0005593649693764746,0.0005593649693764746,T5__alive,False
lag_02__T2__duck_amount,0.0005574076203629375,0.0005574076203629375,T2__duck_amount,False
lag_01__CT1__is_walking,0.0005566131439991295,0.0005566131439991295,CT1__is_walking,False
lag_02__CT_kills_last_3s,0.0005559510318562388,0.0005559510318562388,CT_kills_last_3s,False
lag_05__CT_velocity_mean,-0.0005555376992560923,0.0005555376992560923,CT_velocity_mean,False
lag_01__T_place_PIPE,0.0005526989116333425,0.0005526989116333425,T_place_PIPE,False
lag_11__CT2__duck_amount,-0.0005487326416186988,0.0005487326416186988,CT2__duck_amount,False
