feature,block,rows,non_null,zero,nonzero,nonzero_ratio,unique_count,unique_overflow,min,max,mean,std,constant,rare_nonzero,forbidden,leak_suspicious
CT_place_ROOF,position,1873218,1873218,1871605,1613,0.0008610850418904794,3.0,False,0.0,2.0,0.0008979200498820746,0.0311574037019981,False,True,False,False
CT_place_SIDE,position,1873218,1873218,1871385,1833,0.0009785299949071598,2.0,False,0.0,1.0,0.0009785299949071598,0.03126615540734465,False,True,False,False
CT_place_SILO,position,1873218,1873218,1872935,283,0.0001510769168350934,3.0,False,0.0,2.0,0.0001617537307457007,0.013530749953254815,False,True,False,False
CT_place_STREET,position,1873218,1873218,1871492,1726,0.0009214090404854107,5.0,False,0.0,4.0,0.00099347753438201,0.03431033980339155,False,True,False,False
CT_place_UPSTAIRS,position,1873218,1873218,1871997,1221,0.0006518194892425761,3.0,False,0.0,2.0,0.0006651655066308353,0.026294773173696367,False,True,False,False
T_place_BACKOFA,position,1873218,1873218,1872342,876,0.0004676444492846001,3.0,False,0.0,2.0,0.00047191517484884303,0.021914240165816296,False,True,False,False
T_place_BRICKS,position,1873218,1873218,1872683,535,0.0002856047721087455,3.0,False,0.0,2.0,0.0002962815860193528,0.01781986057920637,False,True,False,False
T_place_CRANE,position,1873218,1873218,1872758,460,0.00024556671994396806,3.0,False,0.0,2.0,0.00024610056063949844,0.01571965891947443,False,True,False,False
T_place_CTSIDEUPPER,position,1873218,1873218,1872482,736,0.0003929067519103489,6.0,False,0.0,5.0,0.00047565205971755557,0.02675171261478985,False,True,False,False
T_place_ENTRANCE,position,1873218,1873218,1871792,1426,0.0007612568318263011,5.0,False,0.0,4.0,0.0008477390245022203,0.03238536931947873,False,True,False,False
T_place_HUTROOF,position,1873218,1873218,1871528,1690,0.0009021907754463175,4.0,False,0.0,3.0,0.0009811991983848115,0.033895871523026165,False,True,False,False
T_place_KITCHEN,utility,1873218,1873218,1871643,1575,0.0008407990954603254,3.0,False,0.0,2.0,0.0009288828102228358,0.03322931561848256,False,True,False,False
T_place_LOCKERROOM,position,1873218,1873218,1871942,1276,0.0006811807274967462,3.0,False,0.0,2.0,0.0006966621076671269,0.02696552484035178,False,True,False,False
T_place_SCAFFOLDING,position,1873218,1873218,1871613,1605,0.0008568143163262365,3.0,False,0.0,2.0,0.0008610850418904794,0.029476855761251027,False,True,False,False
T_place_STORAGEROOM,position,1873218,1873218,1872569,649,0.00034646261139920716,3.0,False,0.0,2.0,0.0003950421146924704,0.02218208878817809,False,True,False,False
CT1__X,position,1873218,1873218,0,1873218,1.0,,True,-3959.97119140625,3497.963623046875,136.10972741279554,1250.315121269755,False,False,False,False
CT1__Y,position,1873218,1873218,0,1873218,1.0,,True,-2780.46240234375,3593.968994140625,369.965597655632,1377.705228726035,False,False,False,False
CT1__alive,state,1873218,1873218,402971,1470247,0.7848776810814331,2.0,False,0.0,1.0,0.7848776810814331,0.41090717543219574,False,False,False,False
CT1__armor,state,1873218,1873218,539232,1333986,0.71213601406777,80.0,False,0.0,100.0,68.95151071578428,44.40527143722168,False,False,False,False
CT1__duck_amount,player_slot_numeric,1873218,1873218,1649428,223790,0.11946820925274047,,True,0.0,1.0,0.08576737986980795,0.260773197857831,False,False,False,False
CT1__flash,utility,1873218,1873218,1193793,679425,0.3627047145607185,3.0,False,0.0,2.0,0.3981805641414934,0.5573010870642594,False,False,False,False
CT1__flash_duration,utility,1873218,1873218,1796082,77136,0.04117833589043027,,True,0.0,5.280556201934815,0.11309175614904703,0.616699712303825,False,False,False,False
CT1__has_defuser,objective,1873218,1873218,1302992,570226,0.30440984444949815,2.0,False,0.0,1.0,0.30440984444949815,0.4601570286888276,False,False,False,False
CT1__has_helmet,utility,1873218,1873218,992118,881100,0.470367036831805,2.0,False,0.0,1.0,0.470367036831805,0.4991211150551261,False,False,False,False
CT1__hp,state,1873218,1873218,402971,1470247,0.7848776810814331,101.0,False,0.0,100.0,73.948965363348,41.62439915625188,False,False,False,False
CT1__is_scoped,player_slot_numeric,1873218,1873218,1765183,108035,0.057673479541623024,2.0,False,0.0,1.0,0.057673479541623024,0.23312496498484458,False,False,False,False
CT1__is_walking,player_slot_numeric,1873218,1873218,1425329,447889,0.23910137528039982,2.0,False,0.0,1.0,0.23910137528039982,0.4265347671871793,False,False,False,False
CT1__molly,utility,1873218,1873218,1491074,382144,0.20400401875275595,2.0,False,0.0,1.0,0.20400401875275595,0.40297193337189274,False,False,False,False
CT1__shots_fired,combat,1873218,1873218,1649275,223943,0.11954988687915662,31.0,False,0.0,30.0,0.4998921641795029,1.896949249905301,False,False,False,False
CT1__smoke,utility,1873218,1873218,1291865,581353,0.3103498898686645,2.0,False,0.0,1.0,0.3103498898686645,0.4626368291945339,False,False,False,False
CT1__utility_total,utility,1873218,1873218,912602,960616,0.5128159135775975,5.0,False,0.0,4.0,0.9125344727629139,1.0659807093162503,False,False,False,False
CT2__X,position,1873218,1873218,0,1873218,1.0,,True,-3959.9619140625,3497.96875,117.21872430427509,1254.2175140053528,False,False,False,False
CT2__Y,position,1873218,1873218,0,1873218,1.0,,True,-2982.4208984375,3593.97119140625,401.10782277576635,1362.9875374681496,False,False,False,False
CT2__alive,state,1873218,1873218,403267,1469951,0.7847196642355562,2.0,False,0.0,1.0,0.7847196642355562,0.41101668189696655,False,False,False,False
CT2__armor,state,1873218,1873218,526091,1347127,0.7191512146477346,85.0,False,0.0,100.0,69.60328429472705,44.07865404424978,False,False,False,False
CT2__duck_amount,player_slot_numeric,1873218,1873218,1640563,232655,0.12420070701861716,,True,0.0,1.0,0.08730377513766728,0.26109606578292527,False,False,False,False
CT2__flash,utility,1873218,1873218,1214945,658273,0.3514129161688602,3.0,False,0.0,2.0,0.38513136217994914,0.5515814428237628,False,False,False,False
CT2__flash_duration,utility,1873218,1873218,1797543,75675,0.0403983946342604,,True,0.0,5.274023532867432,0.11317820889300541,0.6216664242637002,False,False,False,False
CT2__has_defuser,objective,1873218,1873218,1298313,574905,0.3069076850638847,2.0,False,0.0,1.0,0.3069076850638847,0.4612107521650076,False,False,False,False
CT2__has_helmet,utility,1873218,1873218,1027614,845604,0.4514178275032591,2.0,False,0.0,1.0,0.4514178275032591,0.49763417538940885,False,False,False,False
CT2__hp,state,1873218,1873218,403267,1469951,0.7847196642355562,101.0,False,0.0,100.0,73.935371643877,41.57677195058115,False,False,False,False
CT2__is_scoped,player_slot_numeric,1873218,1873218,1819157,54061,0.028859961841067084,2.0,False,0.0,1.0,0.028859961841067084,0.16741285626737043,False,False,False,False
CT2__is_walking,player_slot_numeric,1873218,1873218,1434615,438603,0.23414413058170486,2.0,False,0.0,1.0,0.23414413058170486,0.42346269811618875,False,False,False,False
CT2__molly,utility,1873218,1873218,1488411,384807,0.20542563652495333,2.0,False,0.0,1.0,0.20542563652495333,0.4040123072175786,False,False,False,False
CT2__shots_fired,combat,1873218,1873218,1629952,243266,0.12986529063888988,31.0,False,0.0,30.0,0.5695589087869111,2.0244524403713924,False,False,False,False
CT2__smoke,utility,1873218,1873218,1298242,574976,0.30694558775326736,2.0,False,0.0,1.0,0.30694558775326736,0.46122661882427013,False,False,False,False
CT2__utility_total,utility,1873218,1873218,927713,945505,0.5047490468274382,5.0,False,0.0,4.0,0.8975025864581698,1.0607855505763042,False,False,False,False
CT3__X,position,1873218,1873218,0,1873218,1.0,,True,-3959.947998046875,3497.96875,122.02782338730856,1239.585579017665,False,False,False,False
CT3__Y,position,1873218,1873218,0,1873218,1.0,,True,-2889.58203125,3593.97216796875,395.7469458654133,1386.5558391773136,False,False,False,False
CT3__alive,state,1873218,1873218,412856,1460362,0.7796006658061154,2.0,False,0.0,1.0,0.7796006658061154,0.41451594381974854,False,False,False,False
CT3__armor,state,1873218,1873218,516268,1356950,0.7243951317999293,81.0,False,0.0,100.0,70.16815394684441,43.816464833105265,False,False,False,False
CT3__duck_amount,player_slot_numeric,1873218,1873218,1632643,240575,0.12842872532721766,,True,0.0,1.0,0.09265861020359158,0.26934956090870243,False,False,False,False
CT3__flash,utility,1873218,1873218,1247014,626204,0.3342931789038969,3.0,False,0.0,2.0,0.3644685242187508,0.540353504386031,False,False,False,False
