feature,coefficient,abs_coefficient,base_feature,is_utility
lag_00__T_place_HOUSE,-0.000448633567430079,0.000448633567430079,T_place_HOUSE,False
lag_07__T_place_TRUCK,0.0003785449080169201,0.0003785449080169201,T_place_TRUCK,False
lag_00__CT3__is_walking,-0.0003100431349594146,0.0003100431349594146,CT3__is_walking,False
lag_00__T_place_SIDEALLEY,0.00027951732045039535,0.00027951732045039535,T_place_SIDEALLEY,False
lag_00__T_place_TRUCK,-0.0002543352893553674,0.0002543352893553674,T_place_TRUCK,False
lag_03__T_place_TRUCK,0.00022973727027419955,0.00022973727027419955,T_place_TRUCK,False
lag_00__T_walking_count,-0.00022168656869325787,0.00022168656869325787,T_walking_count,False
lag_01__T_place_HOUSE,-0.0002190441737184301,0.0002190441737184301,T_place_HOUSE,False
lag_01__CT5__duck_amount,-0.0002175599365727976,0.0002175599365727976,CT5__duck_amount,False
lag_08__T_place_TRUCK,0.0002122999430866912,0.0002122999430866912,T_place_TRUCK,False
lag_00__CT_walking_count,-0.0002082980499835685,0.0002082980499835685,CT_walking_count,False
lag_00__CT_place_SNIPERSNEST,0.00019363487081136554,0.00019363487081136554,CT_place_SNIPERSNEST,False
lag_00__CT5__duck_amount,-0.0001915890898089856,0.0001915890898089856,CT5__duck_amount,False
lag_02__CT_place_STAIRS,0.0001719985157251358,0.0001719985157251358,CT_place_STAIRS,False
lag_00__T4__is_walking,-0.00016777304699644446,0.00016777304699644446,T4__is_walking,False
lag_14__CT_place_STAIRS,0.0001675662788329646,0.0001675662788329646,CT_place_STAIRS,False
lag_05__T_place_TRUCK,-0.00016617157962173223,0.00016617157962173223,T_place_TRUCK,False
lag_09__CT_place_STAIRS,-0.00016172422328963876,0.00016172422328963876,CT_place_STAIRS,False
lag_00__CT5__is_walking,-0.00015651278954464942,0.00015651278954464942,CT5__is_walking,False
lag_00__CT_kills_last_3s,0.0001549367734696716,0.0001549367734696716,CT_kills_last_3s,False
lag_01__CT_velocity_mean,-0.0001546809944557026,0.0001546809944557026,CT_velocity_mean,False
lag_05__CT3__is_walking,0.00015186148812063038,0.00015186148812063038,CT3__is_walking,False
lag_02__CT4__duck_amount,0.00015133344277273864,0.00015133344277273864,CT4__duck_amount,False
lag_00__T5__is_walking,-0.0001482320367358625,0.0001482320367358625,T5__is_walking,False
lag_03__CT1__duck_amount,-0.00014776206808164716,0.00014776206808164716,CT1__duck_amount,False
lag_02__CT1__flash_duration,0.00014488065789919347,0.00014488065789919347,CT1__flash_duration,True
lag_02__T_place_APARTMENTS,0.0001440586056560278,0.0001440586056560278,T_place_APARTMENTS,False
lag_00__CT_damage_last_5s,0.0001425566733814776,0.0001425566733814776,CT_damage_last_5s,False
lag_01__CT1__flash_duration,0.0001418333122273907,0.0001418333122273907,CT1__flash_duration,True
lag_10__CT_place_CTSPAWN,-0.00014070983161218464,0.00014070983161218464,CT_place_CTSPAWN,False
lag_05__T3__duck_amount,-0.00013862695777788758,0.00013862695777788758,T3__duck_amount,False
lag_00__CT_place_CATWALK,0.00013725119060836732,0.00013725119060836732,CT_place_CATWALK,False
lag_00__T2__is_walking,-0.00013652328925672919,0.00013652328925672919,T2__is_walking,False
lag_01__T_flash_alpha_mean,-0.00013332322123460472,0.00013332322123460472,T_flash_alpha_mean,True
lag_00__CT1__duck_amount,0.00013241714623291045,0.00013241714623291045,CT1__duck_amount,False
lag_10__T_place_TSPAWN,-0.0001304944889852777,0.0001304944889852777,T_place_TSPAWN,False
lag_09__T_velocity_mean,-0.0001294277753913775,0.0001294277753913775,T_velocity_mean,False
lag_00__kill_diff_last_3s,0.00012916739797219634,0.00012916739797219634,kill_diff_last_3s,False
lag_01__T_place_SIDEALLEY,0.0001291182270506397,0.0001291182270506397,T_place_SIDEALLEY,False
lag_00__CT2__duck_amount,0.00012626397074200213,0.00012626397074200213,CT2__duck_amount,False
