feature,coefficient,abs_coefficient
lag_06__T_place_MINI,0.0009512200485914946,0.0009512200485914946
lag_04__T_mollies_last_5s,-0.0007145718554966152,0.0007145718554966152
lag_14__T_mollies_last_5s,0.0007130441954359412,0.0007130441954359412
lag_04__CT_place_VENDING,0.0005987141630612314,0.0005987141630612314
lag_06__T_shots_fired_sum,0.0005316648748703301,0.0005316648748703301
lag_04__T_smokes_last_5s,-0.0004877498431596905,0.0004877498431596905
lag_02__CT_place_SQUEAKY,0.00048600599984638393,0.00048600599984638393
lag_01__CT_place_SQUEAKY,0.00048600599984638393,0.00048600599984638393
lag_14__T_smokes_last_5s,0.00048587872879579663,0.00048587872879579663
lag_03__CT_place_ADMIN,-0.00047907186672091484,0.00047907186672091484
lag_13__CT_place_ADMIN,0.0004743699391838163,0.0004743699391838163
lag_06__T2__shots_fired,0.0004107654094696045,0.0004107654094696045
lag_06__CT_place_HEAVEN,0.0003676026244647801,0.0003676026244647801
lag_14__CT_place_OUTSIDE,0.0003630745050031692,0.0003630745050031692
lag_05__CT_place_CONTROL,0.0003603711083997041,0.0003603711083997041
lag_05__CT_place_SECRET,0.00034460300230421126,0.00034460300230421126
lag_04__T_place_HUT,0.00033246955717913806,0.00033246955717913806
lag_01__T_place_HUT,0.00033246955717913806,0.00033246955717913806
lag_02__T_place_HUT,0.00033246955717913806,0.00033246955717913806
lag_03__T_flashes_last_5s,-0.0003179033810738474,0.0003179033810738474
lag_13__T_flashes_last_5s,0.00031440614839084446,0.00031440614839084446
lag_00__CT_place_VENTS,-0.0002922464336734265,0.0002922464336734265
lag_10__CT_place_VENTS,0.000288164708763361,0.000288164708763361
lag_03__CT_place_LOBBY,0.000277977145742625,0.000277977145742625
lag_03__CT_place_GARAGE,0.0002533463994041085,0.0002533463994041085
lag_00__CT_place_GARAGE,-0.0002533463994041085,0.0002533463994041085
lag_12__CT_place_GARAGE,0.00024851932539604604,0.00024851932539604604
lag_10__CT_place_GARAGE,0.00024851932539604604,0.00024851932539604604
lag_11__CT_place_GARAGE,0.00024851932539604604,0.00024851932539604604
lag_05__CT3__flash_duration,0.0002472387859597802,0.0002472387859597802
lag_06__CT3__flash_duration,0.0002472387859597802,0.0002472387859597802
lag_00__CT_place_ADMIN,-0.00023953593336045742,0.00023953593336045742
lag_10__CT_place_ADMIN,0.00023483402037527412,0.00023483402037527412
lag_07__CT_flashed_players,0.0002224660274805501,0.0002224660274805501
lag_00__T_place_SQUEAKY,0.00022232394258026034,0.00022232394258026034
lag_06__T_place_SQUEAKY,0.00021764681150671095,0.00021764681150671095
lag_00__CT_place_MINI,0.000214353232877329,0.000214353232877329
lag_01__CT_place_MINI,-0.00021435321832541376,0.00021435321832541376
lag_02__CT_place_RAMP,-0.00021006246970500797,0.00021006246970500797
lag_01__CT_place_RAMP,-0.00021006246970500797,0.00021006246970500797
lag_07__CT_place_MINI,0.0002086628956021741,0.0002086628956021741
lag_09__CT_place_MINI,0.0002086628956021741,0.0002086628956021741
lag_11__CT_place_MINI,0.0002086628956021741,0.0002086628956021741
lag_04__T_bomb_zone_count,0.00020540748664643615,0.00020540748664643615
lag_11__T_flash_alpha_mean,-0.00020353378204163164,0.00020353378204163164
lag_10__T_flash_alpha_mean,-0.00020353378204163164,0.00020353378204163164
lag_12__T_flash_alpha_mean,-0.00020353378204163164,0.00020353378204163164
lag_13__T_flash_alpha_mean,-0.00020353378204163164,0.00020353378204163164
lag_08__T_flash_alpha_mean,-0.00020353378204163164,0.00020353378204163164
lag_14__T_flash_alpha_mean,-0.00020353378204163164,0.00020353378204163164
lag_09__T_flash_alpha_mean,-0.00020353378204163164,0.00020353378204163164
lag_11__CT_place_RAMP,0.00020049042359460145,0.00020049042359460145
lag_12__CT_place_RAMP,0.00020049042359460145,0.00020049042359460145
lag_06__T_A_site_active_infernos,0.0001996452483581379,0.0001996452483581379
lag_02__T_place_ROOF,-0.0001935615437105298,0.0001935615437105298
lag_01__T_place_ROOF,-0.0001935615437105298,0.0001935615437105298
lag_00__T_place_ROOF,-0.0001935615437105298,0.0001935615437105298
lag_08__T_place_ROOF,0.00018857762916013598,0.00018857762916013598
lag_06__T_place_ROOF,0.00018857762916013598,0.00018857762916013598
lag_10__T_place_ROOF,0.00018857762916013598,0.00018857762916013598
lag_09__T_place_ROOF,0.00018857762916013598,0.00018857762916013598
lag_11__T_place_ROOF,0.00018857762916013598,0.00018857762916013598
lag_12__T_place_ROOF,0.00018857762916013598,0.00018857762916013598
lag_07__T_place_ROOF,0.00018857762916013598,0.00018857762916013598
lag_06__T_B_site_active_infernos,0.00018853378423955292,0.00018853378423955292
lag_01__CT_place_RAFTERS,-0.0001877967151813209,0.0001877967151813209
lag_02__CT_place_RAFTERS,-0.0001877967151813209,0.0001877967151813209
lag_03__CT_place_HEAVEN,-0.00018674542661756277,0.00018674542661756277
lag_06__T3__flash_duration,0.00018253603775519878,0.00018253603775519878
lag_11__CT_place_RAFTERS,0.0001821021578507498,0.0001821021578507498
lag_12__CT_place_RAFTERS,0.0001821021578507498,0.0001821021578507498
lag_09__CT_place_HEAVEN,0.00018085722695104778,0.00018085722695104778
lag_13__CT_place_HEAVEN,0.00018085722695104778,0.00018085722695104778
lag_05__CT_place_HEAVEN,0.00018085722695104778,0.00018085722695104778
lag_08__CT_place_HEAVEN,0.00018085722695104778,0.00018085722695104778
lag_03__T_place_BOMBSITEA,0.00017686624778434634,0.00017686624778434634
lag_03__T_macro_A,0.00017686624778434634,0.00017686624778434634
lag_07__CT3__flash_duration,0.00016903960204217583,0.00016903960204217583
lag_00__CT1__shots_fired,0.0001677325344644487,0.0001677325344644487
lag_01__CT1__shots_fired,0.0001677325344644487,0.0001677325344644487
lag_03__CT1__shots_fired,0.0001677325344644487,0.0001677325344644487
lag_04__CT1__shots_fired,0.0001677325344644487,0.0001677325344644487
lag_02__CT1__shots_fired,0.0001677325344644487,0.0001677325344644487
lag_04__T_place_TSPAWN,-0.00016577343922108412,0.00016577343922108412
lag_06__CT1__shots_fired,0.00015842980064917356,0.00015842980064917356
lag_05__CT1__shots_fired,0.00015842980064917356,0.00015842980064917356
lag_14__T_place_TSPAWN,0.00015445103053934872,0.00015445103053934872
lag_04__CT_place_OUTSIDE,-0.00014837052731309086,0.00014837052731309086
lag_01__CT_place_OUTSIDE,0.0001483704982092604,0.0001483704982092604
lag_01__CT_shots_fired_sum,0.00014768795517738909,0.00014768795517738909
lag_08__CT_place_OUTSIDE,0.00014051873586140573,0.00014051873586140573
lag_13__CT_place_OUTSIDE,0.00014051873586140573,0.00014051873586140573
lag_01__T_place_OUTSIDE,-0.00013903452781960368,0.00013903452781960368
lag_00__T_place_OUTSIDE,-0.00013903452781960368,0.00013903452781960368
lag_02__T_place_OUTSIDE,-0.00013903452781960368,0.00013903452781960368
lag_03__T2__duck_amount,0.00013508423580788076,0.00013508423580788076
lag_02__T2__duck_amount,0.00013508423580788076,0.00013508423580788076
lag_04__centroid_distance_xy,-0.000134914051159285,0.000134914051159285
lag_07__CT_place_CATWALK,0.00013356318231672049,0.00013356318231672049
lag_05__CT_place_CATWALK,0.00013356318231672049,0.00013356318231672049
lag_05__T_flash_alpha_mean,-0.00013293100346345454,0.00013293100346345454
lag_06__T_active_infernos,0.00013253651559352875,0.00013253651559352875
lag_01__CT3__duck_amount,0.00013123879034537822,0.00013123879034537822
lag_11__T_place_OUTSIDE,0.0001271417859243229,0.0001271417859243229
lag_10__T_place_OUTSIDE,0.0001271417859243229,0.0001271417859243229
lag_09__T_place_OUTSIDE,0.0001271417859243229,0.0001271417859243229
lag_12__T_place_OUTSIDE,0.0001271417859243229,0.0001271417859243229
lag_08__T_place_OUTSIDE,0.0001271417859243229,0.0001271417859243229
lag_07__T_flashed_players,0.00012711455929093063,0.00012711455929093063
lag_04__CT_walking_count,0.00012640576460398734,0.00012640576460398734
lag_01__CT_walking_count,-0.00012640576460398734,0.00012640576460398734
lag_02__CT5__is_scoped,-0.00012564034841489047,0.00012564034841489047
lag_01__CT5__is_scoped,-0.00012564034841489047,0.00012564034841489047
lag_00__CT5__is_scoped,-0.00012564033386297524,0.00012564033386297524
lag_04__T_closest_enemy_dist,-0.00012428888294380158,0.00012428888294380158
lag_04__CT_closest_enemy_dist,-0.00012250241707079113,0.00012250241707079113
lag_06__CT3__duck_amount,0.0001190992261399515,0.0001190992261399515
lag_01__active_smokes_total,-0.00011823460226878524,0.00011823460226878524
lag_00__active_smokes_total,-0.00011823460226878524,0.00011823460226878524
lag_04__T_place_BOMBSITEA,0.00011791082943091169,0.00011791082943091169
lag_02__T_place_BOMBSITEA,0.00011791082943091169,0.00011791082943091169
lag_04__T_macro_A,0.00011791082943091169,0.00011791082943091169
lag_02__T_macro_A,0.00011791082943091169,0.00011791082943091169
lag_00__CT_B_site_active_smokes,-0.00011667035869322717,0.00011667035869322717
