feature,coefficient,abs_coefficient,base_feature,is_utility,utility_family
lag_10__T1__duck_amount,8.873485967342276e-06,8.873485967342276e-06,T1__duck_amount,False,non_utility
lag_14__CT_place_SECRET,8.871526006259955e-06,8.871526006259955e-06,CT_place_SECRET,False,non_utility
lag_03__T2__has_helmet,8.85859572008485e-06,8.85859572008485e-06,T2__has_helmet,False,non_utility
lag_03__CT_place_OUTSIDELONG,8.837261702865362e-06,8.837261702865362e-06,CT_place_OUTSIDELONG,False,non_utility
lag_14__bomb_events_last_5s,8.83598295331467e-06,8.83598295331467e-06,bomb_events_last_5s,False,non_utility
lag_01__T_place_PIT,8.81820778886322e-06,8.81820778886322e-06,T_place_PIT,False,non_utility
lag_13__T5__flash,8.817642083158717e-06,8.817642083158717e-06,T5__flash,True,flash
lag_04__CT_place_LOCKERROOM,8.817547495709732e-06,8.817547495709732e-06,CT_place_LOCKERROOM,False,non_utility
lag_13__CT5__utility_total,-8.810983672447037e-06,8.810983672447037e-06,CT5__utility_total,True,other_utility
lag_03__T_place_ARAMP,8.791362233750988e-06,8.791362233750988e-06,T_place_ARAMP,False,non_utility
lag_06__T4__armor,8.791201253188774e-06,8.791201253188774e-06,T4__armor,False,non_utility
lag_13__T_place_IVY,8.790242645773105e-06,8.790242645773105e-06,T_place_IVY,False,non_utility
lag_02__CT_place_LOCKERROOM,8.784610145085026e-06,8.784610145085026e-06,CT_place_LOCKERROOM,False,non_utility
lag_01__T_place_OUTSIDETUNNEL,8.777178663876839e-06,8.777178663876839e-06,T_place_OUTSIDETUNNEL,False,non_utility
lag_15__CT_place_OUTSIDELONG,8.77511683938792e-06,8.77511683938792e-06,CT_place_OUTSIDELONG,False,non_utility
lag_13__T_place_TROPHY,8.771904504101258e-06,8.771904504101258e-06,T_place_TROPHY,False,non_utility
lag_04__CT_place_CONTROL,8.744492333789822e-06,8.744492333789822e-06,CT_place_CONTROL,False,non_utility
lag_06__CT_place_ELECTRICALBOX,8.733218237466644e-06,8.733218237466644e-06,CT_place_ELECTRICALBOX,False,non_utility
lag_05__CT_place_LOCKERROOM,8.732300557312556e-06,8.732300557312556e-06,CT_place_LOCKERROOM,False,non_utility
lag_14__T4__hp,8.731932211958338e-06,8.731932211958338e-06,T4__hp,False,non_utility
lag_15__T_place_ARAMP,8.729536602913868e-06,8.729536602913868e-06,T_place_ARAMP,False,non_utility
lag_12__CT_place_LOCKERROOM,8.715490366739687e-06,8.715490366739687e-06,CT_place_LOCKERROOM,False,non_utility
lag_02__CT_place_CONTROL,8.711840564501472e-06,8.711840564501472e-06,CT_place_CONTROL,False,non_utility
lag_06__CT3__smoke,8.709974281373434e-06,8.709974281373434e-06,CT3__smoke,True,smoke
lag_04__damage_diff_last_5s,-8.709534085937776e-06,8.709534085937776e-06,damage_diff_last_5s,False,non_utility
lag_11__CT_place_ELECTRICALBOX,8.690059985383414e-06,8.690059985383414e-06,CT_place_ELECTRICALBOX,False,non_utility
lag_07__CT_flashes_last_5s,8.688743037055247e-06,8.688743037055247e-06,CT_flashes_last_5s,True,flash
lag_14__T_hp_sum,8.68485130922636e-06,8.68485130922636e-06,T_hp_sum,False,non_utility
lag_07__T_place_MAIN,8.675959179527126e-06,8.675959179527126e-06,T_place_MAIN,False,non_utility
lag_01__T_place_WATER,8.672768672113307e-06,8.672768672113307e-06,T_place_WATER,False,non_utility
lag_13__CT_place_UPPERPARK,8.668209375173319e-06,8.668209375173319e-06,CT_place_UPPERPARK,False,non_utility
lag_10__CT_flashes_last_5s,8.663345397508238e-06,8.663345397508238e-06,CT_flashes_last_5s,True,flash
lag_05__CT_place_CONTROL,8.659962077217642e-06,8.659962077217642e-06,CT_place_CONTROL,False,non_utility
lag_10__T_place_MAIN,8.650594281789381e-06,8.650594281789381e-06,T_place_MAIN,False,non_utility
